opinion_id	field	garbled_token	nearest_roster	edit_distance
51	judges	Hearing	maring	2
88	judges	Having	maring	2
88	judges	Hearing	maring	2
145	judges	Hearing	maring	2
331	judges	Hearing	maring	2
375	judges	Hearing	maring	2
558	judges	Spaulding	spalding	1
587	judges	Hearing	maring	2
725	judges	Eisk	fisk	1
726	judges	Spaulding	spalding	1
738	judges	Hearing	maring	2
749	judges	Bisk	fisk	1
762	judges	Spauding	spalding	1
767	judges	Eisk	fisk	1
773	judges	Hearing	maring	2
780	judges	Eisk	fisk	1
798	judges	Hearing	maring	2
799	judges	Hearing	maring	2
802	judges	Eisk	fisk	1
807	judges	Hearing	maring	2
815	judges	Fist	fisk	1
815	judges	Loss	goss	1
816	judges	Eisk	fisk	1
819	judges	Eisk	fisk	1
821	judges	Eisk	fisk	1
825	judges	Eisk	fisk	1
830	judges	Hearing	maring	2
839	judges	Risk	fisk	1
840	judges	Hearing	maring	2
851	judges	Eisk	fisk	1
863	judges	Eisk	fisk	1
876	judges	Hearing	maring	2
880	judges	Having	maring	2
896	judges	Bisk	fisk	1
896	judges	Risk	fisk	1
898	judges	Gross	goss	1
903	judges	Eisk	fisk	1
921	judges	Bbuce	bruce	1
932	judges	Eisk	fisk	1
933	judges	Eisk	fisk	1
966	judges	Risk	fisk	1
969	judges	Gass	goss	1
978	judges	Beuce	bruce	1
981	judges	Bubke	burke	1
983	judges	Beuce	bruce	1
1002	judges	Spaulding	spalding	1
1005	judges	Burice	bruce	2
1016	judges	Beuce	bruce	1
1035	judges	Buuke	burke	1
1074	judges	Bueke	burke	1
1074	judges	Jbeuce	bruce	2
1075	judges	Bbuce	bruce	1
1080	judges	Beuce	bruce	1
1088	judges	Beuce	bruce	1
1089	judges	Pisk	fisk	1
1095	judges	Bueke	burke	1
1099	judges	Buree	burke	1
1106	judges	Eisk	fisk	1
1108	judges	Bbuce	bruce	1
1109	judges	Bubke	burke	1
1110	judges	Bbuce	bruce	1
1111	judges	Bbuce	bruce	1
1111	judges	Buhke	burke	1
1112	judges	Beuce	bruce	1
1115	judges	Bueke	burke	1
1116	judges	Bueke	burke	1
1117	judges	Bukke	burke	1
1122	judges	Eisk	fisk	1
1122	judges	Jbubke	burke	2
