corpus	normalized_cite	n_citing_opinions	n_modern_citers	sample_oids
rule	N.D. Stds. Imposing Lawyer Sanctions 9.0	88	88	19754,19691,18047
ndcc	N.D.C.C. § 27-20-02	146	85	19823,19692,19610
ndcc	N.D.C.C. § 27-20-44	135	85	20204,20250,19928
rule	N.D. Stds. Imposing Lawyer Sanctions 4.0	63	63	19942,18047,19373
ndcc	N.D.C.C. ch. 75-02	86	58	20402,20256,20248
ndcc	N.D.C.C. § 27-20-56	104	49	17402,17250,16212
ndcc	N.D.C.C. ch. 27-20	124	36	18098,19613,17250
rule	N.D. Stds. Imposing Lawyer Sanctions 3.0	29	29	18047,19373,16732
ndcc	N.D.C.C. § 27-20-03	40	24	19692,19402,17250
ndcc	N.D.C.C. § 27-20-32.2	21	21	17345,17321,17250
rule	N.D. Stds. Imposing Lawyer Sanctions 5.0	19	19	16564,16213,15937
rule	N.D. Stds. Imposing Lawyer Sanctions 2.0	18	18	16564,15514,15036
ndcc	N.D.C.C. § 27-20-30	39	16	19613,19634,17250
ndcc	N.D.C.C. § 27-20-26	33	16	17362,17156,19332
ndcc	N.D.C.C. § 27-20-34	32	15	18098,19402,16172
ndcc	N.D.C.C. § 40-18-15.1	21	15	19860,17848,16782
ndcc	N.D.C.C. ch. 33-06	23	14	16372,16251,15856
rule	N.D. Stds. Imposing Lawyer Sanctions 7.0	14	14	16730,16564,15884
ndcc	N.D.C.C. § 14-17-14	30	13	19832,14659,14360
ndcc	N.D.C.C. § 40-18-19	27	13	16541,16525,16437
ndcc	N.D.C.C. ch. 14-17	35	12	19832,15306,14659
ndcc	N.D.C.C. § 27-20-36	27	12	19692,19634,15717
ndcc	N.D.C.C. § 28-32-12.1	13	11	17169,13903,13198
ndcc	N.D.C.C. § 33-06-01	21	10	15355,14227,13915
ndcc	N.D.C.C. § 59-01-16	21	10	14987,14923,14722
rule	N.D. Stds. Imposing Lawyer Sanctions 6.0	10	10	17237,15884,14670
ndcc	N.D.C.C. § 28-32-6	10	10	15651,15546,15482
ndcc	N.D.C.C. ch. 32-29.2	12	9	13924,13839,13704
ndcc	N.D.C.C. § 14-03.1-06	10	9	19688,17446,15504
rule	N.D. Stds. Imposing Lawyer Sanctions 1.0	9	9	20514,16346,15192
rule	N.D.R. Lawyer Discipl. 5.1	9	9	20131,19803,17195
ndcc	N.D.C.C. ch. 14-03.1	9	9	19688,17446,15504
ndcc	N.D.C.C. § 14-03.1-03	9	9	19688,17446,15455
ndcc	N.D.C.C. § 14-03.1-07	9	9	19688,17446,15504
ndcc	N.D.C.C. § 27-20-29	23	8	15160,14926,14383
ndcc	N.D.C.C. § 28-32-21.1	19	8	13198,12613,12513
ndcc	N.D.C.C. § 33-06-04	12	8	15355,14227,14047
ndcc	N.D.C.C. § 59-01-09	12	8	14987,14663,14201
rule	N.D. Stds. Imposing Lawyer Sanctions 8.0	8	8	16048,15930,15514
ndcc	N.D.C.C. § 15-47-38	42	7	15929,15836,13378
ndcc	N.D.C.C. § 59-01-08	14	7	18099,17531,14923
ndcc	N.D.C.C. § 14-17-10	13	7	13997,13808,13218
ndcc	N.D.C.C. § 40-18-01	9	7	16437,15855,15404
ndcc	N.D.C.C. § 27-20-20.1	7	7	17321,18987,15903
ndcc	N.D.C.C. § 28-32-9	7	7	16014,15654,15536
ndcc	N.D.C.C. ch. 29-32	64	6	17533,19264,14956
ndcc	N.D.C.C. § 27-20-27	15	6	16172,14775,13869
ndcc	N.D.C.C. § 14-17-05	12	6	15496,13997,13808
