opinion_id,year,primary_cite,section,break_type,malformed,bad_cite,context
9032,1983,341 N.W.2d 623,26-41-07,inline_space,0,NDCC § 26-41 -07,"is respect, we note that NDCC § 26-41 -07 contains langu"
9067,1984,345 N.W.2d 349,5-01-09,inline_space,0,NDCC § 5-01 -09,"th Dakota dram shop act, NDCC § 5-01 -09, which is a su"
9778,1986,397 N.W.2d 461,26.1-40-13,inline_space,0,§§ 26.1-40- 13,"overage are at N.D.C.C., §§ 26.1-40- 13, 26.1-40-14, a"
11715,1994,520 N.W.2d 574,27-20-30-32,inline_space,0,NDCC 27-20-30 -32,tegory are different. SeeNDCC 27-20-30 -32. In particular
18530,2005,2005 ND 27,32-35-01,inline_space,0,N.D.C.C. § 32-35- 01,eeding jurisdiction. See N.D.C.C. § 32-35- 01. Clifford’s pe
18951,2013,2013 ND 194,29-03-09,inline_space,0,N.D.C.C. § 29-03- 09,"st Fargo, North Dakota); N.D.C.C. § 29-03- 09(3) (venue of a"
18998,2013,2013 ND 96,10-060,inline_space,1,§ 10- 060,of Fargo Municipal Code § 10- 0601. Moran argues
19292,2018,2018 ND 26,32-15-01,inline_space,0,N.D.C.C. § 32-15- 01,rty for government use.” N.D.C.C. § 32-15- 01(1). Section 32
19314,2018,2018 ND 46,12.1-17-02,inline_space,0,N.D.C.C. § 12.1-17- 02,"aggravated assault under N.D.C.C. § 12.1-17- 02 on November 7,"
19361,2019,921 N.W.2d 640,14-20-02,inline_space,0,N.D.C.C. § 14-20- 02,20-11 through 14-20-24.” N.D.C.C. § 14-20- 02(1). Section 14
19374,2019,932 N.W.2d 529,29-32.1-06,inline_space,0,N.D.C.C. § 29-32.1- 06,"denial, whether based on N.D.C.C. § 29-32.1- 06(2) or N.D.C.C."
19401,2019,2019 ND 255,1-02-39,inline_space,0,N.D.C.C. § 1-02- 39,"d. (citing M.W., at ¶ 6; N.D.C.C. § 1-02- 39). “‘We presume"
19407,2019,2019 ND 261,9-01-02,inline_space,0,N.D.C.C. § 9-01- 02,"18, ¶ 11, 603 N.W.2d 52; N.D.C.C. § 9-01- 02. “[P]arties ca"
19426,2019,2019 ND 280,33-15-07-2,inline_space,1,§ 33-15-07- 2,ment of N.D. Admin. Code § 33-15-07- 2(1) by issuing
19470,2020,2020 ND 116,14-05-24,inline_space,0,N.D.C.C. § 14-05- 24,ies’ property and debts. N.D.C.C. § 14-05- 24(1). The court
19472,2020,2020 ND 118,12.1-17-04,inline_space,0,N.D.C.C. § 12.1-17- 04,angerous to human life.” N.D.C.C. § 12.1-17- 04(1). “A threat
19488,2020,2020 ND 14,65-01-16,inline_space,0,N.D.C.C. §§ 65-01- 16,"and N.D.C.C. ch. 28-32. N.D.C.C. §§ 65-01- 16(9), 65-10-01."
19512,2020,2020 ND 193,28-32-46,inline_space,0,N.D.C.C. §§ 28-32- 46,"r as the district court. N.D.C.C. §§ 28-32- 46, 28-32-49. Thi"
19521,2020,2020 ND 223,1-02-38,inline_space,0,N.D.C.C. § 1-02- 38,perative or superfluous. N.D.C.C. § 1-02- 38(2) and (4). “W
19524,2020,2020 ND 226,25-03.3-01,inline_space,0,N.D.C.C. § 25-03.3- 01,". § 25-03.3-18(4). Under N.D.C.C. § 25-03.3- 01(8), to be comm"
19529,2020,2020 ND 243,31-11-03,inline_space,0,N.D.C.C. § 31-11- 03,"Further, the court noted N.D.C.C. § 31-11- 03(24) creates a"
