old_cite	new_cite	jaccard	status	alternates
N.D. Const. § 2	N.D. Const. art. I, § 2	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 3	N.D. Const. art. I, § 23	1.0	CONFIDENT	N.D. Const. art. XI, § 4=0.03; N.D. Const. art. VII, § 3=0.03
N.D. Const. § 4	N.D. Const. art. I, § 3	1.0	CONFIDENT	N.D. Const. art. XI, § 29=0.03; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 5	N.D. Const. art. I, § 14	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 6	N.D. Const. art. I, § 11	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 8	N.D. Const. art. I, § 10	1.0	CONFIDENT	N.D. Const. art. X, § 13=0.00; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 9	N.D. Const. art. I, § 4	1.0	CONFIDENT	N.D. Const. art. I, § 12=0.01; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 10	N.D. Const. art. I, § 5	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 11	N.D. Const. art. I, § 22	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 12	N.D. Const. art. I, § 19	1.0	CONFIDENT	N.D. Const. art. V, § 3=0.01; N.D. Const. art. IX, § 11=0.01
N.D. Const. § 13	N.D. Const. art. I, § 12	1.0	CONFIDENT	N.D. Const. art. I, § 4=0.01; N.D. Const. art. I, § 25=0.00
N.D. Const. § 15	N.D. Const. art. I, § 15	1.0	CONFIDENT	N.D. Const. art. VIII, § 6=0.00; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 16	N.D. Const. art. I, § 18	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 17	N.D. Const. art. I, § 6	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 18	N.D. Const. art. I, § 8	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 19	N.D. Const. art. I, § 17	1.0	CONFIDENT	N.D. Const. art. XI, § 9=0.01; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 20	N.D. Const. art. I, § 21	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 21	N.D. Const. art. I, § 24	1.0	CONFIDENT	N.D. Const. art. XII, § 2=0.02; N.D. Const. art. IV, § 13=0.00
N.D. Const. § 22	N.D. Const. art. I, § 9	1.0	CONFIDENT	N.D. Const. art. V, § 2=0.01; N.D. Const. art. X, § 5=0.01
N.D. Const. § 23	N.D. Const. art. I, § 7	1.0	CONFIDENT	N.D. Const. art. III, § 1=0.01; N.D. Const. art. XI, § 1=0.01
N.D. Const. § 24	N.D. Const. art. I, § 20	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 38	N.D. Const. art. IV, § 10	1.0	CONFIDENT	N.D. Const. art. IV, § 6=0.02; N.D. Const. art. IV, § 9=0.01
N.D. Const. § 134	N.D. Const. art. XII, § 5	1.0	CONFIDENT	N.D. Const. art. XI, § 19=0.01; N.D. Const. art. XI, § 17=0.01
N.D. Const. § 139	N.D. Const. art. XII, § 10	1.0	CONFIDENT	N.D. Const. art. IX, § 9=0.02; N.D. Const. art. IX, § 3=0.02
N.D. Const. § 147	N.D. Const. art. VIII, § 1	1.0	CONFIDENT	N.D. Const. art. XIII, § 4=0.05; N.D. Const. art. XI, § 4=0.02
N.D. Const. § 149	N.D. Const. art. VIII, § 3	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 152	N.D. Const. art. VIII, § 5	1.0	CONFIDENT	N.D. Const. art. II, § 1=0.01; N.D. Const. art. IX, § 5=0.00
N.D. Const. § 155	N.D. Const. art. IX, § 5	1.0	CONFIDENT	N.D. Const. art. IX, § 3=0.02; N.D. Const. art. IX, § 1=0.01
N.D. Const. § 163	N.D. Const. art. IX, § 9	1.0	CONFIDENT	N.D. Const. art. XII, § 10=0.02; N.D. Const. art. IX, § 3=0.01
N.D. Const. § 178	N.D. Const. art. X, § 2	1.0	CONFIDENT	N.D. Const. art. X, § 12=0.01; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 179	N.D. Const. art. X, § 4	1.0	CONFIDENT	N.D. Const. art. VI, § 6=0.01; N.D. Const. art. VI, § 1=0.01
N.D. Const. § 181	N.D. Const. art. X, § 8	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.01; N.D. Const. art. XV, § 6=0.01
N.D. Const. § 184	N.D. Const. art. X, § 16	1.0	CONFIDENT	N.D. Const. art. X, § 15=0.03; N.D. Const. art. X, § 27=0.01
N.D. Const. § 186	N.D. Const. art. X, § 12	1.0	CONFIDENT	N.D. Const. art. X, § 21=0.01; N.D. Const. art. X, § 2=0.01
N.D. Const. § 190	N.D. Const. art. XI, § 18	1.0	CONFIDENT	N.D. Const. art. VII, § 2=0.08; N.D. Const. art. VII, § 4=0.05
N.D. Const. § 191	N.D. Const. art. XI, § 19	1.0	CONFIDENT	N.D. Const. art. X, § 20=0.03; N.D. Const. art. VII, § 4=0.03
N.D. Const. § 192	N.D. Const. art. XI, § 20	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 193	N.D. Const. art. XI, § 21	1.0	CONFIDENT	N.D. Const. art. IV, § 15=0.02; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 194	N.D. Const. art. XI, § 8	1.0	CONFIDENT	N.D. Const. art. IV, § 8=0.03; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 196	N.D. Const. art. XI, § 10	1.0	CONFIDENT	N.D. Const. art. XI, § 15=0.01; N.D. Const. art. V, § 10=0.00
N.D. Const. § 197	N.D. Const. art. XI, § 11	1.0	CONFIDENT	N.D. Const. art. VI, § 6=0.05; N.D. Const. art. VI, § 1=0.04
N.D. Const. § 198	N.D. Const. art. XI, § 12	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 199	N.D. Const. art. XI, § 13	1.0	CONFIDENT	N.D. Const. art. XV, § 1=0.01; N.D. Const. art. XV, § 3=0.01
N.D. Const. § 200	N.D. Const. art. XI, § 14	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 201	N.D. Const. art. XI, § 15	1.0	CONFIDENT	N.D. Const. art. XI, § 10=0.01; N.D. Const. art. XVI, § 5=0.00
N.D. Const. § 208	N.D. Const. art. XI, § 22	1.0	CONFIDENT	N.D. Const. art. XI, § 11=0.02; N.D. Const. art. VI, § 10=0.01
N.D. Const. § 209	N.D. Const. art. XI, § 24	1.0	CONFIDENT	N.D. Const. art. XVI, § 5=0.00; N.D. Const. art. XVI, § 4=0.00
N.D. Const. § 213	N.D. Const. art. XI, § 23	1.0	CONFIDENT	N.D. Const. art. X, § 13=0.00; N.D. Const. art. XVI, § 5=0.00
N.D. Const. amend. art. XIV	N.D. Const. art. X, § 19	1.0	CONFIDENT	N.D. Const. art. X, § 20=0.73; N.D. Const. art. XI, § 19=0.03
N.D. Const. amend. art. XIX	N.D. Const. art. X, § 20	1.0	CONFIDENT	N.D. Const. art. X, § 19=0.73; N.D. Const. art. XI, § 19=0.03
N.D. Const. amend. art. XCII	N.D. Const. art. XI, § 5	1.0	CONFIDENT	N.D. Const. art. XI, § 6=0.60; N.D. Const. art. X, § 27=0.01
N.D. Const. amend. art. CIII	N.D. Const. art. XI, § 6	1.0	CONFIDENT	N.D. Const. art. XI, § 5=0.60; N.D. Const. art. X, § 27=0.01
N.D. Const. § 182	N.D. Const. art. X, § 13	0.991	CONFIDENT	N.D. Const. art. XI, § 23=0.00; N.D. Const. art. X, § 16=0.00
N.D. Const. § 94	N.D. Const. art. VI, § 10	0.988	CONFIDENT	N.D. Const. art. XI, § 22=0.01; N.D. Const. art. IV, § 7=0.01
