cite	amendment	eff_date	page	isolated_pdf	current_tok
N.D. Const. art. III, § 2	146	2004-07-08	p1	art.IIIs2-2004-07-08-146.pdf	131
N.D. Const. art. IV, § 11	141	2000-07-13	p4	art.IVs11-2000-07-13-141.pdf	20
N.D. Const. art. VI, § 13	137	1998-07-09	p1	art.VIs13-1998-07-09-137.pdf	178
N.D. Const. art. VIII, § 6	130	1994-12-08	p5	art.VIIIs6-1994-12-08-130.pdf	1671
N.D. Const. art. VIII, § 6	133	1996-12-05	p10	art.VIIIs6-1996-12-05-133.pdf	1671
N.D. Const. art. VIII, § 6	139	2000-07-13	p1	art.VIIIs6-2000-07-13-139.pdf	1671
N.D. Const. art. IX, § 3	118	1986-07-10	p4	art.IXs3-1986-07-10-118.pdf	80
N.D. Const. art. IX, § 12	166	2024-12-05	p1	art.IXs12-2024-12-05-166.pdf	382
N.D. Const. art. X, § 24	131	1995-07-01	NO_PAGE	/Users/jerod/refs/nd/sess/1995_sl/CAA.pdf	192
N.D. Const. art. X, § 24	160	2016-12-08	p2	art.Xs24-2016-12-08-160.pdf	192
N.D. Const. art. XI, § 4	155	2012-12-06	p3	art.XIs4-2012-12-06-155.pdf	125
N.D. Const. art. XI, § 16	149	2006-08-01	p1	art.XIs16-2006-08-01-149.pdf	103
N.D. Const. art. XI, § 29	156	2012-12-06	p1	art.XIs29-2012-12-06-156.pdf	44
