oid	column	court_date	source	gap_days
10248	1988-10-05	1998-10-05	archive	3652
8360	1981-01-29	1982-01-29	archive	365
7396	1975-04-28	1975-10-28	archive	183
10655	1990-06-20	1990-12-19	archive	182
10797	1990-09-12	1991-02-04	archive	145
8677	1982-05-19	1982-07-08	archive	50
6948	1971-03-30	1971-05-17	archive	48
1014	1912-11-20	1913-01-03	doc	44
11673	1994-07-18	1994-06-15	archive	-33
7266	1974-05-02	1974-03-29	archive	-34
7346	1974-12-04	1974-10-31	archive	-34
10196	1988-09-20	1988-08-17	archive	-34
8131	1980-01-02	1979-11-28	archive	-35
8607	1982-04-15	1982-03-11	archive	-35
14145	1955-04-18	1955-03-14	doc	-35
8249	1980-09-02	1980-07-28	doc	-36
7538	1976-04-02	1976-02-25	archive	-37
6487	1966-02-14	1966-01-07	archive	-38
10098	1988-05-09	1988-03-29	doc	-41
8638	1982-06-10	1982-04-29	archive	-42
9220	1984-12-04	1984-10-23	archive	-42
9624	1986-06-04	1986-04-23	archive	-42
8090	1979-08-28	1979-07-16	doc	-43
8051	1979-08-02	1979-06-18	doc	-45
7714	1977-07-12	1977-05-26	archive	-47
7337	1974-11-27	1974-10-10	archive	-48
9768	1986-11-03	1986-09-16	doc	-48
8049	1979-06-29	1979-05-11	archive	-49
6276	1963-05-16	1963-03-28	doc	-49
18182	1959-11-17	1959-09-29	doc	-49
8465	1981-09-03	1981-07-15	archive	-50
11827	1995-02-08	1994-12-20	archive	-50
7196	1973-10-08	1973-08-17	archive	-52
6403	1965-03-11	1965-01-18	doc	-52
7665	1977-05-03	1977-03-11	archive	-53
7882	1978-09-07	1978-07-13	archive	-56
10109	1988-03-29	1988-02-01	archive	-57
6548	1966-10-13	1966-08-16	archive	-58
10278	1989-03-08	1989-01-09	archive	-58
7550	1976-05-12	1976-03-12	archive	-61
7879	1978-07-12	1978-05-12	archive	-61
9876	1987-06-17	1987-04-16	archive	-62
8100	1979-08-22	1979-06-18	archive	-65
8341	1981-01-08	1980-11-03	archive	-66
8440	1981-09-01	1981-06-25	archive	-68
12359	1997-03-25	1997-01-16	archive	-68
7827	1978-05-09	1978-03-02	doc	-68
6280	1963-05-29	1963-03-21	doc	-69
7264	1974-04-25	1974-02-13	archive	-71
8359	1981-04-15	1981-01-29	doc	-76
9097	1984-05-10	1984-02-23	archive	-77
13779	1954-11-18	1954-09-02	doc	-77
7807	1978-04-04	1978-01-13	archive	-81
8847	1983-04-12	1983-01-20	archive	-82
8958	1983-12-21	1983-09-30	archive	-82
6103	1960-05-26	1960-03-04	doc	-83
6242	1962-12-11	1962-09-17	doc	-85
6719	1968-07-22	1968-04-25	archive	-88
7105	1972-09-06	1972-06-09	archive	-89
7316	1974-06-27	1974-03-29	archive	-90
6945	1971-08-06	1971-05-07	archive	-91
7793	1978-03-20	1977-12-19	archive	-91
11469	1993-08-10	1993-05-11	archive	-91
17492	1958-12-31	1958-09-29	doc	-93
12352	1997-04-25	1997-01-16	archive	-99
10443	1989-10-25	1989-07-17	archive	-100
7962	1979-01-25	1978-10-16	archive	-101
1674	1917-03-15	1916-12-02	doc	-103
7027	1971-12-20	1971-09-03	archive	-108
10245	1988-10-18	1988-06-30	archive	-110
6243	1962-12-11	1962-08-17	doc	-116
9722	1986-11-25	1986-07-30	archive	-118
7727	1977-07-27	1977-03-24	archive	-125
8220	1980-06-20	1980-02-14	archive	-127
6507	1966-04-19	1965-11-30	archive	-140
6097	1960-05-02	1959-12-10	doc	-144
11244	1992-11-05	1992-05-05	archive	-184
11245	1992-11-05	1992-05-05	archive	-184
11246	1992-11-05	1992-05-05	archive	-184
11248	1992-11-05	1992-05-05	archive	-184
11262	1992-11-05	1992-05-05	archive	-184
11263	1992-11-05	1992-05-05	archive	-184
11264	1992-11-05	1992-05-05	archive	-184
11265	1992-11-05	1992-05-05	archive	-184
11267	1992-11-05	1992-05-05	archive	-184
13270	1954-03-01	1953-08-18	doc	-195
7288	1974-06-04	1973-11-16	archive	-200
7068	1972-06-01	1971-10-22	archive	-223
6384	1964-12-03	1964-04-21	doc	-226
11675	1994-06-15	1993-09-08	archive	-280
7194	1973-06-05	1972-02-08	archive	-483
8454	1994-10-25	1981-06-30	archive	-4865
9597	1986-03-19	1896-03-19	archive	-32871
