oid	cite	para	db_token	pdf_token	context
12875	1999ND73	11	17	7	..., e.g., Paulson, 1998 ND [17->7], ¶¶ 5, 13, 574 N.W.2d 80...
12920	1999ND126	10	562	652	...utak,* 1997 ND 76, ¶ 6, [562->652] N.W.2d 750. We conclude ...
13240	2000ND170	93	312	321	...al parents are unknown.” [312->321] N.Y.S.2d at 817. ...
13366	2001ND85	15	883	876	...robation,* 23 A.L.R.4th [883->876] (1983 & Supp.2000) (reco...
13647	2002ND142	30	486	468	...motion in the amount of $[486->468].00 against the City. ...
13907	2003ND186	41	688886	68886	... 2001 Ohio 2162, 2001 WL [688886->68886] *14) (holding that a tri...
13927	2004ND7	14	714	617	... ND 44, ¶ 16, 640 N.W.2d [714->617], this Court reiterated t...
13984	2004ND47	14	61	661	...75-83, 148 N.W. 654, 657-[61->661] (1914) (on petition for ...
13984	2004ND47	14	83	283	...sell,* 28 N.D. 265, 275-[83->283], 148 N.W. 654, 657-61 (1...
14049	2004ND141	13	9	19	.... Berning, 2001 ND 34, ¶ [9->19], 622 N.W.2d 186. However...
14719	2007ND41	5	560	506	... v. Stout,* 1997 ND 61, [560->506] N.W.2d 903, and *Hawkin...
15087	2008ND209	1	1	01	... 2006 ND 146, 718 N.W.2d [1->01]. Thereafter, Aakre was p...
15308	2009ND204	31	597	579	...ll,* 1999 ND 125, ¶ 18, [597->579] N.W.2d 406). Because Dah...
15322	2009ND217	21	800	80	...rp.,* 557 S.E.2d at 799-[800->80]. A plaintiffs failure to...
16076	2013ND118	20	838	333	... 2012 ND 164, 820 N.W.2d [838->333]. He asserts that althoug...
16101	2013ND141	19	735	749	... *Gilbert,*455 N.W.2d at [735->749] (holding second-degree m...
16101	2013ND141	66	37	7	...Ct. 1255, discussed at ¶ [37->7] above. E ...
16413	2015ND38	25	453	543	... ND 12, ¶ 12, 604 N.W.2d [453->543] (describing existing ave...
16533	2015ND182	5	646	64	... 2014 ND 17, 842 N.W.2d [646->64]. Howe posted a notice on...
17056	2017ND252	9	1881	1331	...49, § 1; Hearing on H.B. [1881->1331] Before the House Industr...
18193	2023ND89	5	243	234	...m.P. 11. State v. McKay, [243->234] N.W.2d 853, 855 (N.D. 1...
18238	2023ND227	31	1970	1969	...p, 174 N.W.2d 717 (N.D. [1970->1969]), and State v. Spiekerme...
