18	12585	17	384	334	CONFIRM	334	N.W.2d 334, 339 (N.D. 1993)
72	13063	9	1998	1999	CONFIRM	1999	Henry, 1999 ND 141, ¶ 22
74	13068	13	916	915	CONFIRM	915	915 P.2d 799, 804-05
87	13197	16	642	542	CONFIRM	542	"crop showed full cite; re-rendered source PDF p7 ¶16: ""In Krehlik, 542 N.W.2d at 447, however"""
96	13240	118	862	362	CONFIRM	362	Id. at 362
105	13318	15	828	328	CONFIRM	328	Kottke, 328 N.W.2d 481, 485 (Wis. 1983)
111	13419	46	82	32	CONFIRM	32	§ 28-32-12.1
127	13566	44	82	32	CONFIRM	32	N.D.C.C. § 32-02-04
148	13740	16	682	632	CONFIRM	632	448 N.W.2d 630, 632 n.2
154	13789	18	89	39	CONFIRM	39	N.D.R.Civ.P. 39.1(b)
155	13795	5	8	3	CONFIRM	3	$3,000,000
157	13813	17	656	655	CONFIRM	655	655 N.W.2d 712
181	14107	5	2008	2003	CONFIRM	2003	October 2003
187	14154	20	08	03	CONFIRM	03	12.1-17-03
188	14176	6	818	813	CONFIRM	813	$813.97
193	14222	12	470	420	CONFIRM	420	617 N.W.2d 420
234	14624	7	2000	2001	CONFIRM	2001	shipped crop duplicated row 233; verified via fresh render of PDF p.3 para-7 occurrence
266	14930	5	850	350	CONFIRM	350	$350,000
268	14938	69	55	35	CONFIRM	35	22 N.D. at 332-35
272	14990	12	82	32	CONFIRM	32	Hilgers, at ¶ 32
290	15205	27	16	15	CONFIRM	15	2006 ND 242, ¶ 15, 724 N.W.2d 168
298	15271	8	81	31	CONFIRM	31	§ 12.1-31.2-01(1)
305	15335	9	8	3	CONFIRM	3	N.D.R. Lawyer Discipl. 6.3
307	15339	10	38	33	CONFIRM	33	parking spaces to 33
321	15581	20	68	63	CONFIRM	63	Rule 63, N.D.R.Civ.P.
323	15602	15	18	13	CONFIRM	13	Id. at ¶¶ 12-13
328	15636	20	482	432	CONFIRM	432	432 N.W.2d 883, 887 (N.D. 1988)
350	15760	14	408	403	CONFIRM	403	407 F.2d 403 (4th Cir. 1969)
369	15820	1	10	40	CONFIRM	40	§ 26.1-40-15.4(1)
382	15864	29	258	253	CONFIRM	253	In Wentz, 103 N.W.2d at 253-54
392	15883	15	866	366	CONFIRM	366
393	15885	1	708	703	CONFIRM	703	$24,703.97
394	15885	16	383	333	CONFIRM	333
396	15902	7	128	123	CONFIRM	123
409	15967	16	12	42	CONFIRM	42	14-20-42
432	16081	2	838	833	CONFIRM	833	809 N.W.2d 833
435	16094	21	38	33	CONFIRM	33	33, 770 N.W.2d 252
450	16216	25	928	923	CONFIRM	923	prints 857 P.2d 922, 923-24
459	16283	7	8	3	CONFIRM	3	39-20-05(3)
481	16350	10	8	3	CONFIRM	3	"standalone numbered paragraph ""3."""
483	16353	13	08	03	CONFIRM	03
488	16375	11	81	31	CONFIRM	31	§ 12.1-31.2-01
489	16380	2	2018	2013	CONFIRM	2013
490	16387	5	2018	2013	CONFIRM	2013
495	16411	26	28	23	CONFIRM	23	§ 32-23-03
509	16516	8	8	3	CONFIRM	3	"wrapped cite; line reads ""3.1(F)"""
519	16599	16	358	353	CONFIRM	353	107 N.W.2d 353 (N.D. 1960)
522	16622	27	8	3	CONFIRM	3	N.D.R. Prof. Conduct 5.3
527	16643	5	16	15	CONFIRM	15	¶ 15, 803 N.W.2d 578
528	16649	14	116	115	CONFIRM	115	840 N.E.2d 115, 122
555	16793	4	10	40	CONFIRM	40	§ 26.1-40-15.6(6)
569	16863	3	160	150	CONFIRM	150	inmate population 150% over
575	16875	31	883	383	CONFIRM	383	$383,139.35
582	16932	7	82	32	CONFIRM	32	N.D.C.C. § 32- at line break
600	17033	16	6126	6125	CONFIRM	6125	CK# 6125 Margie
613	17093	13	63	53	CONFIRM	53	S.D. Codified Laws § 53-9-11
616	17105	10	8	3	CONFIRM	3	"numbered item ""3. Mr. Betz, acting as a self-represented..."""
