id	cite	lineage	bucket	det_nums	contig	n_orphan	n_malformed	n_nbsp	west_brackets	notes_hdr	verify_sources
937	1912 ND 70	nw_scan	PERIOD_ORPHAN	-	-	1	0	0	0	-	nw_scan:NW/137/34.md | westlaw_doc:/Users/jerod/refs/nd/opin/N.D./23/0352-Bismarck-Water-Supply-Co-v-City-of-Bismarck.doc
1641	1916 ND 139	nw_scan	PERIOD_ORPHAN	-	-	1	0	0	0	-	nw_scan:NW/159/74_2.md | westlaw_doc:/Users/jerod/refs/nd/opin/N.D./34/0601-Mercer-County-State-Bank-of-Manhaven-v-Hayes.doc
2218	1919 ND 120	westlaw_doc	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW/174/76.md | westlaw_doc:/Users/jerod/refs/nd/opin/N.D./42/0535-Ellis-v-Ellis.doc
5101	1890 ND 10	westlaw_doc	MALFORMED	-	-	0	0	1	0	-	nw_scan:NW/44/1077.md | westlaw_doc:N.W./44/1077-Territory-ex-rel-Wallace-et-al-v-Woodbury-et-al-County-Commissioners.doc
5227	1892 ND 32	nw_scan	PERIOD_ORPHAN	-	-	1	0	0	0	-	nw_scan:NW/54/315.md
5242	1893 ND 17	westlaw_doc	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW/55/587.md | nw_scan:NW/55/587.pdf | westlaw_doc:N.W./55/0587-COLER-et-al-v-DWIGHT-SCHOOL-TP-OF-RICHLAND-COUNTY.doc
5589	1898 ND 108	nw_scan	PERIOD_ORPHAN	-	-	1	0	0	0	-	nw_scan:NW/77/340.md
5662	1899 ND 56	nw_scan	PERIOD_ORPHAN	-	-	1	0	0	0	-	nw_scan:NW/80/768.md
6135	1961 ND 6	westlaw_doc	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/107/509.md | westlaw_doc:N.W.2d/107/0509-John-W-KING-Individually-and-as-Trustee-for-the-North-Dakota-Workmen-s-Compensation-Bureau.doc
6409	1965 ND 15	westlaw_doc	MALFORMED	-	-	0	0	2	0	-	nw_scan:NW2d/133/853.md | westlaw_doc:N.W.2d/133/0853-Harold-J-KELLY-on-behalf-of-himself-and-all-other-taxpayers-of-the-State-of-North-dakota-P.doc
6520	1966 ND 35	other	MALFORMED	-	-	0	2	0	0	-	nw_scan:NW2d/142/606.md | other:court-archive/142/8302.htm
6551	1966 ND 59	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/145/488.md | other:court-archive/145/8311.htm
6566	1966 ND 70	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/146/36.md | other:court-archive/146/8259.htm
6587	1967 ND 1	other	MALFORMED	-	-	0	3	0	0	-	nw_scan:NW2d/148/166.md | other:court-archive/148/8360.htm
6607	1967 ND 11	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/149/733.md | other:court-archive/149/8305.htm
6718	1968 ND 32	other	MALFORMED	-	-	0	2	0	0	-	nw_scan:NW2d/160/217.md | other:court-archive/160/8492.htm
6721	1968 ND 25	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/160/49.md | other:court-archive/160/8463.htm
6725	1968 ND 28	other	MALFORMED	-	-	0	3	0	0	-	nw_scan:NW2d/160/61.md | other:court-archive/160/8462.htm
6775	1968 ND 55	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/167/519.md | other:court-archive/167/8510.htm
6788	1969 ND 34	other	MALFORMED	-	-	0	2	0	0	-	nw_scan:NW2d/169/420.md | other:court-archive/169/8540.htm
6806	1969 ND 46	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/171/133.md | other:court-archive/171/8530.htm
6997	1971 ND 74	westlaw_doc	MALFORMED	-	-	0	0	1	0	-	nw_scan:NW2d/190/27.md | nw_scan:NW2d/190/27_2.md | westlaw_doc:N.W.2d/190/0027-In-the-Interest-of-J-Z-a-child-William-H-BLORE-Petitioner-and-Respondent-v-John-Z-and-Susa.doc
7118	1972 ND 75	westlaw_doc	MALFORMED	-	-	0	0	3	0	-	nw_scan:NW2d/201/118.md | nw_scan:NW2d/201/118_2.md | westlaw_doc:N.W.2d/201/0118-In-the-Interest-of-AN-a-child-Patricia-KINGSLEY-Petitioner-and-Respondent-v-WN-et-al-Respo.doc
7327	1974 ND 55	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/221/70.md | other:court-archive/221/9001.htm
7371	1974 ND 125	westlaw_doc	NOTES_SECTION	-	-	0	0	0	0	y	nw_scan:NW2d/225/571.md | nw_scan:NW2d/225/571_2.md | westlaw_doc:N.W.2d/225/0571-In-the-Matter-of-the-SALES-AND-USE-TAX-DETERMINATION-made-By-the-STATE-TAX-COMMISSIONER-ag.doc
7421	1975 ND 48	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/231/716.md | other:court-archive/231/9062.htm
7460	1975 ND 71	westlaw_doc	MALFORMED	-	-	0	0	2	0	-	nw_scan:NW2d/234/623.md | westlaw_doc:N.W.2d/234/0623-STATE-of-North-Dakota-Plaintiff-and-Appellee-v-Ervin-Alfred-STEVENS-Defendant-and-Appellan.doc
7470	1975 ND 79	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/235/254.md | other:court-archive/235/506.htm
7541	1976 ND 30	westlaw_doc	MALFORMED	-	-	0	0	1	0	-	nw_scan:NW2d/240/867.md | westlaw_doc:N.W.2d/240/0867-STATE-of-North-Dakota-Plaintiff-and-Appellee-v-Arthur-W-STOKES-Defendant-and-Appellant-Civ.doc
7545	1976 ND 33	westlaw_doc	MALFORMED	-	-	0	0	1	0	-	nw_scan:NW2d/241/557.md | westlaw_doc:N.W.2d/241/0557-STATE-of-North-Dakota-Plaintiff-and-Appellee-v-Herbert-O-JENSEN-Defendant-and-Appellant-Cr.doc
7547	1976 ND 38	westlaw_doc	MALFORMED	-	-	0	0	1	0	-	nw_scan:NW2d/241/699.md | westlaw_doc:N.W.2d/241/0699-STATE-of-North-Dakota-Plaintiff-and-Appellee-v-Leonard-J-AZURE-Defendant-and-Appellant-Cr-.doc
7553	1976 ND 35	westlaw_doc	MALFORMED	-	-	0	0	2	0	-	nw_scan:NW2d/242/644.md | westlaw_doc:N.W.2d/242/0644-STATE-of-North-Dakota-Plaintiff-Appellee-v-Vernon-Ray-OLMSTEAD-Defendant-Appellant-Cr-No-5.doc
7667	1977 ND 15	other	MALFORMED	-	-	0	1	0	0	-	nw_scan:NW2d/251/898.md | other:court-archive/251/9308.htm
7704	1977 ND 57	westlaw_doc	NOTES_SECTION	-	-	0	0	0	0	y	nw_scan:NW2d/253/870.md | nw_scan:NW2d/253/870_2.md | westlaw_doc:N.W.2d/253/0870-In-the-Interest-of-R-L-D-a-child-Clarence-O-OHLSEN-Director-Grand-Forks-County-Social-Serv.doc
7708	1977 ND 66	other	MALFORMED	-	-	0	2	0	0	-	nw_scan:NW2d/254/438.md | other:court-archive/254/9289.htm
7759	1977 ND 114	westlaw_doc	MALFORMED	-	-	0	0	1	0	-	nw_scan:NW2d/259/636.md | nw_scan:NW2d/259/636_2.md | westlaw_doc:N.W.2d/259/0636-In-the-Interest-of-R-D-S-a-child-John-DASOVICK-Petitioner-and-Appellee-v-A-B-Respondent-an.doc
7792	1977 ND 139	westlaw_doc	MALFORMED	-	-	0	8	0	0	-	nw_scan:NW2d/261/795.md | other:court-archive/261/9382.htm | westlaw_doc:N.W.2d/261/0795-Judith-METCALF-the-Executrix-of-the-Estate-of-Fred-L-Metcalf-Deceased-Plaintiff-Appellant-.doc
7812	1978 ND 15	westlaw_doc	MALFORMED	-	-	0	0	1	0	-	nw_scan:NW2d/262/719.md | nw_scan:NW2d/262/719_2.md | westlaw_doc:N.W.2d/262/0719-In-the-Interest-of-R-H-D-D-H-M-L-H-and-N-N-H-all-minors-under-the-age-of-14-years-Roland-W.doc
7818	1978 ND 21	westlaw_doc	MALFORMED	-	-	0	0	1	0	-	nw_scan:NW2d/263/114.md | nw_scan:NW2d/263/114_2.md | westlaw_doc:N.W.2d/263/0114-In-the-Interest-of-D-S-a-child-Jonathan-T-GARAAS-Petitioner-and-Appellee-v-D-S-T-S-and-D-S.doc
7827	1978 ND 27	westlaw_doc	MALFORMED	-	-	0	0	3	0	-	nw_scan:NW2d/264/448.md | other:court-archive/264/8785.htm | westlaw_doc:N.W.2d/264/0448-Application-of-Roger-A-McKinnon-for-Reinstatement-to-the-Bar-of-the-State-of-North-Dakota-.doc
7858	1978 ND 56	westlaw_doc	MALFORMED	-	-	0	0	2	0	-	nw_scan:NW2d/267/1.md | nw_scan:NW2d/267/1_2.md | westlaw_doc:N.W.2d/267/0001-In-the-Interest-of-K-P-M-D-K-D-and-T-D-Thomas-D-McGURREN-guardian-ad-litem-Petitioner-and-.doc
