cited_cite	footnote	cited_id	source	n_citers	citing_cites
1999 ND 2	1	12808	ND	5	2004 ND 21,2005 ND 101,1999 ND 196,2001 ND 192,2020 ND 192
1997 ND 98	3	12458	westlaw	4	1998 ND 149,1999 ND 12,2013 ND 136,1998 ND 16
1997 ND 145	1	12495	westlaw	2	1997 ND 168,1999 ND 144
1999 ND 103	2	12955	ND	2	2001 ND 137,2002 ND 1
1999 ND 154	8	12949	ND	2	2004 ND 78,2003 ND 15
2022 ND 136	1	19650	ND	2	2022 ND 229,2024 ND 189
1998 ND 94	6	12659	ND	1	1998 ND 112
1997 ND 9	2	12353	ND	1	2001 ND 137
1997 ND 149	4	12496	westlaw	1	2003 ND 77
1998 ND 228	2	12800	ND	1	2003 ND 121
1999 ND 154	4	12949	ND	1	2003 ND 151
1999 ND 216	3	13029	ND	1	2006 ND 47
1998 ND 149	2	12737	ND	1	2010 ND 64
1998 ND 225	4	12790	ND	1	2010 ND 136
2011 ND 122	1	15640	ND	1	2012 ND 122
1999 ND 156	1	12945	ND	1	2018 ND 122
2024 ND 99	1	20075	ND	1	2025 ND 155
2024 ND 147	1	19893	ND	1	2025 ND 32
2018 ND 132	1	17181	ND	1	2026 ND 97
