id	cite	bucket	src	src_n	db_det	db_mal	db_orph	status	src_nums
937	1912 ND 70	PERIOD_ORPHAN	westlaw_doc	0	0	0	1	EXTRACT_FAIL	-
1641	1916 ND 139	PERIOD_ORPHAN	westlaw_doc	0	0	0	1	EXTRACT_FAIL	-
2218	1919 ND 120	MALFORMED	westlaw_doc	0	0	1	0	EXTRACT_FAIL	-
5101	1890 ND 10	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
5227	1892 ND 32	PERIOD_ORPHAN	nw_scan	0	0	0	1	NO_AUTO_SOURCE	-
5242	1893 ND 17	MALFORMED	westlaw_doc	0	0	1	0	EXTRACT_FAIL	-
5589	1898 ND 108	PERIOD_ORPHAN	nw_scan	0	0	0	1	NO_AUTO_SOURCE	-
5662	1899 ND 56	PERIOD_ORPHAN	nw_scan	0	0	0	1	NO_AUTO_SOURCE	-
6135	1961 ND 6	MALFORMED	westlaw_doc	0	0	1	0	EXTRACT_FAIL	-
6409	1965 ND 15	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
6520	1966 ND 35	MALFORMED	nw_scan	0	0	2	0	NO_AUTO_SOURCE	-
6551	1966 ND 59	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
6566	1966 ND 70	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
6587	1967 ND 1	MALFORMED	nw_scan	0	0	3	0	NO_AUTO_SOURCE	-
6607	1967 ND 11	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
6718	1968 ND 32	MALFORMED	nw_scan	0	0	2	0	NO_AUTO_SOURCE	-
6721	1968 ND 25	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
6725	1968 ND 28	MALFORMED	nw_scan	0	0	3	0	NO_AUTO_SOURCE	-
6775	1968 ND 55	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
6788	1969 ND 34	MALFORMED	nw_scan	0	0	2	0	NO_AUTO_SOURCE	-
6806	1969 ND 46	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
6997	1971 ND 74	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
7118	1972 ND 75	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
7327	1974 ND 55	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
7371	1974 ND 125	NOTES_SECTION	westlaw_doc	1	1	0	0	MATCH	1
7421	1975 ND 48	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
7460	1975 ND 71	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
7470	1975 ND 79	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
7541	1976 ND 30	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
7545	1976 ND 33	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
7547	1976 ND 38	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
7553	1976 ND 35	MALFORMED	westlaw_doc	1	1	1	0	CHECK_MARKERS	1
7667	1977 ND 15	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
7704	1977 ND 57	NOTES_SECTION	westlaw_doc	1	1	0	0	MATCH	1
7708	1977 ND 66	MALFORMED	nw_scan	0	0	2	0	NO_AUTO_SOURCE	-
7759	1977 ND 114	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
7792	1977 ND 139	MALFORMED	westlaw_doc	1	1	8	0	CHECK_MARKERS	1
7812	1978 ND 15	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
7818	1978 ND 21	MALFORMED	westlaw_doc	3	0	1	0	SRC_MORE	1,2,3
7827	1978 ND 27	MALFORMED	westlaw_doc	5	0	3	0	SRC_MORE	1,2,3,4,5
7858	1978 ND 56	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
7860	1978 ND 60	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
7877	1978 ND 77	NOTES_SECTION	westlaw_doc	3	3	0	0	MATCH	1,2,3
7888	1978 ND 82	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
7911	1978 ND 97	MALFORMED	westlaw_doc	11	11	0	0	MATCH	1,2,3,4,5,6,7,8,9,10,11
7914	1978 ND 100	MALFORMED	westlaw_doc	5	0	2	0	SRC_MORE	1,2,3,4,5
7919	1978 ND 104	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
7957	1979 ND 11	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
7972	1979 ND 31	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
7985	1979 ND 30	MALFORMED	westlaw_doc	12	0	3	0	SRC_MORE	1,2,3,4,5,6,7,8,9,10,11,12
7995	1979 ND 46	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8007	1979 ND 58	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
8015	1979 ND 62	MALFORMED	westlaw_doc	2	0	1	0	SRC_MORE	1,2
8051	1979 ND 107	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8059	1979 ND 97	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8065	1979 ND 106	MALFORMED	westlaw_doc	7	0	7	0	SRC_MORE	1,2,3,4,5,6,7
8078	1979 ND 119	MALFORMED	westlaw_doc	7	0	3	0	SRC_MORE	1,2,3,4,5,6,7
8089	1979 ND 104	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
8099	1979 ND 134	MALFORMED	westlaw_doc	2	0	2	0	SRC_MORE	1,2
8106	1979 ND 141	MALFORMED	westlaw_doc	9	0	9	0	SRC_MORE	1,2,3,4,5,6,7,8,9
8107	1979 ND 142	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
8137	1980 ND 2	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8138	1980 ND 3	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8160	1980 ND 25	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
8161	1980 ND 26	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8182	1980 ND 46	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8184	1980 ND 32	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8185	1980 ND 40	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8208	1980 ND 59	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
8209	1980 ND 67	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8214	1980 ND 77	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8224	1980 ND 92	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8230	1980 ND 87	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
8235	1980 ND 97	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
8244	1980 ND 103	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8248	1980 ND 60	NOTES_SECTION	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8249	1980 ND 109	MALFORMED	westlaw_doc	3	3	2	0	CHECK_MARKERS	1,2,3
8255	1980 ND 114	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8261	1980 ND 118	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8280	1980 ND 143	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8285	1980 ND 144	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
8315	1980 ND 152	MALFORMED	westlaw_doc	3	0	3	0	SRC_MORE	1,2,3
8316	1980 ND 157	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8317	1980 ND 153	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8320	1980 ND 158	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8332	1980 ND 172	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8340	1981 ND 4	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8345	1981 ND 6	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8347	1981 ND 7	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8357	1981 ND 12	MALFORMED	westlaw_doc	7	7	0	0	MATCH	1,2,3,4,5,6,7
8361	1981 ND 13	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
8366	1981 ND 24	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8367	1981 ND 25	MALFORMED	westlaw_doc	10	0	7	0	SRC_MORE	1,2,3,4,5,6,7,8,9,10
8398	1981 ND 56	MALFORMED	westlaw_doc	6	6	0	0	MATCH	1,2,3,4,5,6
8400	1981 ND 57	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8408	1981 ND 68	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8410	1981 ND 61	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8418	1981 ND 73	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8428	1981 ND 80	MALFORMED	nw_scan	0	0	3	0	NO_AUTO_SOURCE	-
8436	1981 ND 91	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8450	1981 ND 107	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
8451	1981 ND 103	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
8456	1981 ND 111	NOTES_SECTION	westlaw_doc	6	6	0	0	MATCH	1,2,3,4,5,6
8467	1981 ND 121	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8472	1981 ND 124	MALFORMED	westlaw_doc	12	12	0	0	MATCH	1,2,3,4,5,6,7,8,9,10,11,12
8493	1981 ND 134	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8504	1981 ND 150	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8511	1981 ND 157	NOTES_SECTION	westlaw_doc	3	3	0	0	MATCH	1,2,3
8527	1981 ND 168	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
8536	1981 ND 177	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8584	1982 ND 13	MALFORMED	westlaw_doc	13	13	0	0	MATCH	1,2,3,4,5,6,7,8,9,10,11,12,13
8596	1982 ND 23	NOTES_SECTION	westlaw_doc	2	2	0	0	MATCH	1,2
8616	1982 ND 43	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8622	1982 ND 47	MALFORMED	westlaw_doc	10	10	0	0	MATCH	1,2,3,4,5,6,7,8,9,10
8626	1982 ND 51	MALFORMED	westlaw_doc	5	0	5	0	SRC_MORE	1,2,3,4,5
8630	1982 ND 54	MALFORMED	westlaw_doc	9	0	8	0	SRC_MORE	1,2,3,4,5,6,7,8,9
8649	1982 ND 73	MALFORMED	westlaw_doc	4	0	3	0	SRC_MORE	1,2,3,4
8656	1982 ND 81	MALFORMED	westlaw_doc	27	27	0	0	MATCH	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
8669	1982 ND 77	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
8680	1982 ND 109	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8686	1982 ND 101	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
8691	1982 ND 105	NOTES_SECTION	westlaw_doc	1	1	0	0	MATCH	1
8709	1982 ND 121	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8725	1982 ND 137	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
8748	1982 ND 153	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
8799	1983 ND 7	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8824	1983 ND 17	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8831	1983 ND 31	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8836	1983 ND 28	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
8872	1983 ND 66	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8890	1983 ND 84	NOTES_SECTION	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
8938	1983 ND 128	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
8950	1983 ND 144	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
8970	1983 ND 170	NOTES_SECTION	westlaw_doc	1	1	0	0	MATCH	1
8984	1983 ND 149	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9048	1984 ND 10	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9101	1984 ND 56	MALFORMED	westlaw_doc	11	11	0	0	MATCH	1,2,3,4,5,6,7,8,9,10,11
9150	1984 ND 102	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
9153	1984 ND 115	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9163	1984 ND 97	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9170	1984 ND 129	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
9176	1984 ND 121	MALFORMED	nw_scan	0	0	7	0	NO_AUTO_SOURCE	-
9209	1984 ND 156	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9225	1984 ND 174	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9236	1984 ND 166	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
9247	1984 ND 168	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9252	1984 ND 191	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
9258	1984 ND 196	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
9320	1985 ND 27	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9338	1985 ND 40	MALFORMED	westlaw_doc	12	0	9	0	SRC_MORE	1,2,4,5,6,7,8,9,10,11,12,13
9352	1985 ND 60	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
9371	1985 ND 71	MALFORMED	westlaw_doc	6	0	5	0	SRC_MORE	1,2,3,4,5,6
9410	1985 ND 109	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9453	1985 ND 151	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
9512	1985 ND 209	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
9563	1986 ND 18	MALFORMED	westlaw_doc	1	0	1	0	SRC_MORE	1
9578	1986 ND 30	NOTES_SECTION	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
9594	1986 ND 45	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
9611	1986 ND 64	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
9640	1986 ND 89	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
9656	1986 ND 104	MALFORMED	westlaw_doc	21	0	31	0	SRC_MORE	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9689	1986 ND 125	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
9759	1986 ND 196	MALFORMED	westlaw_doc	3	0	3	0	SRC_MORE	1,2,3
9769	1986 ND 205	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
9840	1987 ND 24	MALFORMED	westlaw_doc	6	6	0	0	MATCH	1,2,3,4,5,6
9848	1987 ND 31	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
9878	1987 ND 48	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
9897	1987 ND 78	NOTES_SECTION	westlaw_doc	2	2	0	0	MATCH	1,2
9976	1987 ND 152	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
10025	1988 ND 8	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
10031	1987 ND 197	MALFORMED	nw_scan	0	0	5	0	NO_AUTO_SOURCE	-
10039	1988 ND 17	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
10054	1988 ND 37	NOTES_SECTION	westlaw_doc	2	2	0	0	MATCH	1,2
10061	1988 ND 49	MALFORMED	westlaw_doc	6	6	0	0	MATCH	1,2,3,4,5,6
10081	1988 ND 45	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
10098	1988 ND 67	MALFORMED	westlaw_doc	4	0	4	0	SRC_MORE	1,2,3,4
10119	1988 ND 85	NOTES_SECTION	westlaw_doc	1	1	0	0	MATCH	1
10149	1988 ND 105	NOTES_SECTION	westlaw_doc	6	6	0	0	MATCH	1,2,3,4,5,6
10195	1988 ND 165	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
10210	1988 ND 177	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
10212	1988 ND 178	MALFORMED	westlaw_doc	6	6	0	0	MATCH	1,2,3,4,5,6
10251	1988 ND 198	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
10255	1988 ND 201	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
10416	1989 ND 120	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
10425	1989 ND 140	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
10426	1989 ND 141	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
10540	1990 ND 8	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
10572	1990 ND 48	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
10633	1990 ND 99	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
10674	1990 ND 139	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
10726	1990 ND 192	MALFORMED	westlaw_doc	4	4	1	0	CHECK_MARKERS	1,2,3,4
10755	1990 ND 219	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
10759	1990 ND 222	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
10764	1990 ND 227	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
10793	1991 ND 3	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
10800	1991 ND 12	MALFORMED	westlaw_doc	1	1	0	0	MATCH	1
10848	1991 ND 43	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
10874	1991 ND 88	MALFORMED	westlaw_doc	5	5	0	0	MATCH	1,2,3,4,5
10886	1991 ND 90	PERIOD_ORPHAN	nw_scan	0	0	0	5	NO_AUTO_SOURCE	-
10888	1991 ND 91	MALFORMED	westlaw_doc	2	2	1	0	CHECK_MARKERS	1,2
10907	1991 ND 109	NOTES_SECTION	westlaw_doc	1	1	0	0	MATCH	1
10936	1991 ND 131	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
10977	1991 ND 180	MALFORMED	westlaw_doc	9	9	0	0	MATCH	1,2,3,4,5,6,7,8,9
10994	1991 ND 194	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
11019	1991 ND 219	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
11099	1992 ND 51	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
11110	1992 ND 66	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
11118	1992 ND 73	MALFORMED	westlaw_doc	4	4	0	0	MATCH	1,2,3,4
11129	1992 ND 77	MALFORMED	westlaw_doc	3	3	0	0	MATCH	1,2,3
11139	1992 ND 94	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
11143	1992 ND 89	MALFORMED	westlaw_doc	2	2	0	0	MATCH	1,2
11167	1992 ND 129	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
11196	1992 ND 146	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
11199	1992 ND 153	MALFORMED	nw_scan	0	0	1	0	NO_AUTO_SOURCE	-
