oid	neutral	year	pages	fullpage_imgs	img_mp	kb_per_page	classification	has_2nd_source	pdf_path
12351	1997 ND 6	1997	7	0	0.0	2	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND6.pdf
12353	1997 ND 9	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND9.pdf
12360	1997 ND 1	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND1.pdf
12363	1997 ND 7	1997	9	9	133.6	103	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND7.pdf
12364	1997 ND 2	1997	6	0	0.0	2	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND2.pdf
12385	1997 ND 8	1997	7	0	0.0	15	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND8.pdf
12344	1997 ND 10	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND10.pdf
12365	1997 ND 11	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND11.pdf
12358	1997 ND 29	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND29.pdf
12346	1997 ND 16	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND16.pdf
12347	1997 ND 22	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND22.pdf
12348	1997 ND 18	1997	4	0	0.0	2	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND18.pdf
12349	1997 ND 17	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND17.pdf
12350	1997 ND 15	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND15.pdf
12355	1997 ND 19	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND19.pdf
12356	1997 ND 24	1997	5	0	0.0	23	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND24.pdf
12357	1997 ND 20	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND20.pdf
12361	1997 ND 23	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND23.pdf
12367	1997 ND 14	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND14.pdf
12386	1997 ND 25	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND25.pdf
12387	1997 ND 21	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND21.pdf
18249	1997 ND 12	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND12.pdf
18251	1997 ND 13	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND13.pdf
12368	1997 ND 28	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND28.pdf
18270	1997 ND 26	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND26.pdf
18271	1997 ND 27	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND27.pdf
12362	1997 ND 34	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND34.pdf
12369	1997 ND 32	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND32.pdf
12370	1997 ND 31	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND31.pdf
12371	1997 ND 36	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND36.pdf
12388	1997 ND 30	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND30.pdf
12389	1997 ND 33	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND33.pdf
12391	1997 ND 37	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND37.pdf
12393	1997 ND 35	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND35.pdf
12390	1997 ND 38	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND38.pdf
12392	1997 ND 40	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND40.pdf
12394	1997 ND 39	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND39.pdf
12395	1997 ND 44	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND44.pdf
12400	1997 ND 41	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND41.pdf
12401	1997 ND 43	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND43.pdf
18272	1997 ND 42	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND42.pdf
12359	1997 ND 3	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND3.pdf
18273	1997 ND 45	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND45.pdf
12396	1997 ND 49	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND49.pdf
12397	1997 ND 59	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND59.pdf
12398	1997 ND 50	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND50.pdf
12399	1997 ND 61	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND61.pdf
12402	1997 ND 46	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND46.pdf
12403	1997 ND 62	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND62.pdf
12404	1997 ND 60	1997	20	0	0.0	10	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND60.pdf
12405	1997 ND 55	1997	7	0	0.0	29	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND55.pdf
12406	1997 ND 48	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND48.pdf
12407	1997 ND 51	1997	6	0	0.0	214	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND51.pdf
12408	1997 ND 57	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND57.pdf
12409	1997 ND 54	1997	10	10	148.2	74	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND54.pdf
12410	1997 ND 58	1997	4	4	59.5	51	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND58.pdf
12411	1997 ND 47	1997	8	8	118.8	75	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND47.pdf
12426	1997 ND 52	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND52.pdf
12428	1997 ND 56	1997	5	0	0.0	17	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND56.pdf
18274	1997 ND 53	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND53.pdf
