shared	owner	strip	cite_deleted	src_detached	strip_remaining_cites
965 N.W.2d 425	17883	17884	965 N.W.2d 425	NW2d/965/425_2.md	['2021 ND 179']
973 N.W.2d 1	17996	17997	973 N.W.2d 1	NW2d/973/1_2.md	['2022 ND 74']
972 N.W.2d 928	17993	17994	972 N.W.2d 928	NW2d/972/928_2.md	['2022 ND 79']
973 N.W.2d 5	18008	18009	973 N.W.2d 5	NW2d/973/5_2.md	['2022 ND 80']
903 N.W.2d 60	17072	17073	903 N.W.2d 60	NW2d/903/60_2.md	['2017 ND 236']
982 N.W.2d 856	18115	18116	982 N.W.2d 856	NW2d/982/856_2.md	['2022 ND 238']
985 N.W.2d 635	18129	18130	985 N.W.2d 635	NW2d/985/635_2.md	['2023 ND 26']
973 N.W.2d 2	17998	18002	973 N.W.2d 2	NW2d/973/2_2.md	['2022 ND 75']
980 N.W.2d 203	18070	18071	980 N.W.2d 203	NW2d/980/203_2.md	['2022 ND 176']
954 N.W.2d 671	17750	17751	954 N.W.2d 671	NW2d/954/671_2.md	['2021 ND 14']
913 N.W.2d 771	17203	17204	913 N.W.2d 771	NW2d/913/771_2.md	['2018 ND 149']
902 N.W.2d 515	17043	17044	902 N.W.2d 515	NW2d/902/515_2.md	['2017 ND 224']
946 N.W.2d 506	17666	17667	946 N.W.2d 506	NW2d/946/506_2.md	['2020 ND 158']
910 N.W.2d 860	17159	17160	910 N.W.2d 860	NW2d/910/860_2.md	['2018 ND 106']
969 N.W.2d 708	17954	17955	969 N.W.2d 708	NW2d/969/708_2.md	['2022 ND 25']
949 N.W.2d 831	17699	17700	949 N.W.2d 831	NW2d/949/831_2.md	['2020 ND 210']
990 N.W.2d 569	18188	18189	990 N.W.2d 569	NW2d/990/569_2.md	['2023 ND 93']
902 N.W.2d 924	17057	17058	902 N.W.2d 924	NW2d/902/924_2.md	['2017 ND 238']
982 N.W.2d 526	18101	18102	982 N.W.2d 526	NW2d/982/526_2.md	['2022 ND 223']
919 N.W.2d 914	17296	17297	919 N.W.2d 914	NW2d/919/914_2.md	['2018 ND 249']
913 N.W.2d 769	17200	17201	913 N.W.2d 769	NW2d/913/769_2.md	['2018 ND 159']
895 N.W.2d 314	16937	16938	895 N.W.2d 314	NW2d/895/314_2.md	['2017 ND 131']
926 N.W.2d 708	17453	17454	926 N.W.2d 708	NW2d/926/708_2.md	['2019 ND 117']
904 N.W.2d 40	17095	17096	904 N.W.2d 40	NW2d/904/40_2.md	['2017 ND 278']
691 N.W.2d 193	14161	14162	691 N.W.2d 193	NW2d/691/193_2.md	['2004 ND 221']
913 N.W.2d 774	17208	17209	913 N.W.2d 774	NW2d/913/774_2.md	['2018 ND 154']
922 N.W.2d 782	17367	17368	922 N.W.2d 782	NW2d/922/782_2.md	['2019 ND 34']
921 N.W.2d 402	17339	17340	921 N.W.2d 402	NW2d/921/402_2.md	['2019 ND 5']
975 N.W.2d 560	18037	18038	975 N.W.2d 560	NW2d/975/560_2.md	['2022 ND 121']
894 N.W.2d 906	16929	16930	894 N.W.2d 906	NW2d/894/906_2.md	['2017 ND 116']
929 N.W.2d 538	17482	17483	929 N.W.2d 538	NW2d/929/538_2.md	['2019 ND 150']
956 N.W.2d 403	17778	17779	956 N.W.2d 403	NW2d/956/403_2.md	['2021 ND 51']
973 N.W.2d 7	18011	18012	973 N.W.2d 7	NW2d/973/7_2.md	['2022 ND 72']
950 N.W.2d 768	17727	17728	950 N.W.2d 768	NW2d/950/768_2.md	['2020 ND 241']
988 N.W.2d 548	18157	18158	988 N.W.2d 548	NW2d/988/548_2.md	['2023 ND 64']
969 N.W.2d 175	17938	17939	969 N.W.2d 175	NW2d/969/175_2.md	['2022 ND 8']
960 N.W.2d 770	17824	17825	960 N.W.2d 770	NW2d/960/770_2.md	['2021 ND 95']
982 N.W.2d 864	18117	18118	982 N.W.2d 864	NW2d/982/864_2.md	['2022 ND 233']
960 N.W.2d 764	17822	17823	960 N.W.2d 764	NW2d/960/764_2.md	['2021 ND 96']
968 N.W.2d 134	17920	17921	968 N.W.2d 134	NW2d/968/134_2.md	['2021 ND 239']
979 N.W.2d 913	18048	18049	979 N.W.2d 913	NW2d/979/913_2.md	['2022 ND 166']
967 N.W.2d 778	17912	17913	967 N.W.2d 778	NW2d/967/778_2.md	['2021 ND 216']
908 N.W.2d 732	17124	17125	908 N.W.2d 732	NW2d/908/732_2.md	['2018 ND 78']
949 N.W.2d 824	17695	17696	949 N.W.2d 824	NW2d/949/824_2.md	['2020 ND 218']
969 N.W.2d 163	17935	17936	969 N.W.2d 163	NW2d/969/163_2.md	['2022 ND 6']
984 N.W.2d 350	18122	18123	984 N.W.2d 350	NW2d/984/350_2.md	['2023 ND 7']
984 N.W.2d 660	18126	18127	984 N.W.2d 660	NW2d/984/660_2.md	['2023 ND 9']
969 N.W.2d 442	17947	17948	969 N.W.2d 442	NW2d/969/442_2.md	['2022 ND 21']
988 N.W.2d 586	18167	18168	988 N.W.2d 586	NW2d/988/586_2.md	['2023 ND 57']
964 N.W.2d 730	17875	17876	964 N.W.2d 730	NW2d/964/730_2.md	['2021 ND 174']
971 N.W.2d 861	17984	17985	971 N.W.2d 861	NW2d/971/861_2.md	['2022 ND 55']
918 N.W.2d 64	17279	17280	918 N.W.2d 64	NW2d/918/64_2.md	['2018 ND 220']
910 N.W.2d 845	17155	17156	910 N.W.2d 845	NW2d/910/845_2.md	['2018 ND 109']
973 N.W.2d 207	17999	18000	973 N.W.2d 207	NW2d/973/207_2.md	['2022 ND 88']
925 N.W.2d 396	17425	17426	925 N.W.2d 396	NW2d/925/396_2.md	['2019 ND 91']
910 N.W.2d 868	17162	17163	910 N.W.2d 868	NW2d/910/868_2.md	['2018 ND 105']
918 N.W.2d 43	17274	17275	918 N.W.2d 43	NW2d/918/43_2.md	['2018 ND 222']
904 N.W.2d 34	17091	17093	904 N.W.2d 34	NW2d/904/34_2.md	['2017 ND 288']
923 N.W.2d 137	17377	17378	923 N.W.2d 137	NW2d/923/137_2.md	['2019 ND 54']
920 N.W.2d 454	17319	17320	920 N.W.2d 454	NW2d/920/454_2.md	['2018 ND 253']
908 N.W.2d 697	17118	17119	908 N.W.2d 697	NW2d/908/697_2.md	['2018 ND 75']
923 N.W.2d 123	17373	17374	923 N.W.2d 123	NW2d/923/123_2.md	['2019 ND 51']
911 N.W.2d 919	17184	17185	911 N.W.2d 919	NW2d/911/919_2.md	['2018 ND 125']
920 N.W.2d 306	17313	17314	920 N.W.2d 306	NW2d/920/306_2.md	['2018 ND 252']
924 N.W.2d 87	17421	17422	924 N.W.2d 87	NW2d/924/87_2.md	['2019 ND 69']
606 N.W.2d 108	13076	13077	606 N.W.2d 108	NW2d/606/108_2.md	['2000 ND 19']
904 N.W.2d 469	17099	17100	904 N.W.2d 469	NW2d/904/469_2.md	['2017 ND 280']
898 N.W.2d 406	16971	16972	898 N.W.2d 406	NW2d/898/406_2.md	['2017 ND 169']
756 N.W.2d 344	15055	15056	756 N.W.2d 344		['2008 ND 126']
