role	stub	full	shared	survivor_caption	survivor_cites_after
OWNER	14582	18589	719 N.W.2d 384	Clifford v. Redmann	['2006 ND 93', '719 N.W.2d 384']
NONOWNER	14583	18591	719 N.W.2d 384	State v. Wheeler	['2006 ND 95']
OWNER	17128	19339	909 N.W.2d 110	Interest of S.B.	['2018 ND 89', '909 N.W.2d 110']
NONOWNER	17129	19341	909 N.W.2d 110	Interest of R.F.	['2018 ND 90']
OWNER	17131	19342	909 N.W.2d 112	State v. Rutherford	['2018 ND 91', '909 N.W.2d 112']
NONOWNER	17132	19337	909 N.W.2d 112	State v. Ali	['2018 ND 87']
OWNER	17206	19255	913 N.W.2d 773	State v. Cullett	['2018 ND 155', '913 N.W.2d 773']
NONOWNER	17207	19254	913 N.W.2d 773	Tillich, et al. v. Bruce, et al.	['2018 ND 153']
OWNER	17289	19279	919 N.W.2d 334	.J.K. v. M.J.K.	['2018 ND 235', '919 N.W.2d 334']
NONOWNER	17290	19277	919 N.W.2d 334	Prairie Winds Apartments 1, LLC v. Stark County Board of Commissioners (cons	['2018 ND 233']
OWNER	17282	19278	919 N.W.2d 180	McGath v. Waide	['2018 ND 234', '919 N.W.2d 180']
NONOWNER	17283	19283	919 N.W.2d 180	Pederson v. State	['2018 ND 239']
