cite	oid	case_name	date_filed	author	tl	cb	src	all_cites
100 N.W. 1084	5	Hanson v. Carlblom	1904-09-10	PC	2085	1	westlaw*,NW	100 N.W. 1084,13 N.D. 361
100 N.W. 1084	6	Lough v. White	1904-10-10	Young	929	0	westlaw*,NW	100 N.W. 1084,13 N.D. 387
100 N.W. 1084	7	Marshall-Wells Hardware Co. v. New Era Coal Co.	1904-10-19	Morgan	19070	4	westlaw*,NW	100 N.W. 1084,13 N.D. 396

111 N.W. 615	276	Kerr v. Swanson	1907-02-20	PC	489	0	NW*	111 N.W. 615,16 N.D. 59
111 N.W. 615	277	Vallelly v. Board of Park Commissioners	1907-02-20	Morgan	26015	3	westlaw*,NW	111 N.W. 615,16 N.D. 25
111 N.W. 615	278	Kerr v. Herred	1907-02-23	PC	483	3	NW*	111 N.W. 615,16 N.D. 59

127 N.W. 78	671	Goss v. Herman	1910-05-06	Spalding	27129	1	westlaw*,NW	127 N.W. 78,20 N.D. 295
127 N.W. 78	672	State v. Andor	1910-06-03	Spalding	820	0	westlaw*,NW	127 N.W. 78,20 N.D. 372
127 N.W. 78	673	State v. Messer	1910-06-03	PC	822	0	westlaw*,NW	127 N.W. 78,20 N.D. 371
127 N.W. 78	674	State v. McAndress	1910-06-03	PC	840	0	westlaw*,NW	127 N.W. 78,20 N.D. 370
127 N.W. 78	675	State v. Koch	1910-06-03	PC	745	1	NW*	127 N.W. 78,20 N.D. 370

140 N.W. 239	1013	Seckerson v. Sinclair	1912-11-20	PC	971	3	westlaw*,NW	140 N.W. 239,24 N.D. 326
140 N.W. 239	1014	Hawkins v. Sinclair	1912-11-20	PC	621	0	westlaw*,NW	140 N.W. 239,24 N.D. 325
140 N.W. 239	1015	Hawkins v. Sinclair	1913-01-03	PC	615	0	NW*	140 N.W. 239,24 N.D. 325
140 N.W. 239	1016	Seckerson v. Sinclair	1913-02-10	Bruce	35240	6	westlaw*,NW	140 N.W. 239,24 N.D. 625

145 N.W. 825	1154	Kain v. Garnaas	1914-02-11	Bruce	16380	0	westlaw*,NW	145 N.W. 825,27 N.D. 292
145 N.W. 825	1155	Kunze v. Lillethun	1914-02-19	PC	3525	0	NW*	145 N.W. 825,27 N.D. 229
145 N.W. 825	1156	Gruman v. Lillethun	1914-02-19	PC	3543	1	NW*	145 N.W. 825,27 N.D. 227
145 N.W. 825	1157	Ertelt v. Lillethun	1914-02-19	PC	3744	1	westlaw*,NW	145 N.W. 825,27 N.D. 226

147 N.W. 263	1186	Hackney v. Lynn	1914-04-13	PC	775	0	westlaw*,NW	147 N.W. 263,27 N.D. 458
147 N.W. 263	1187	Boynton v. Lynn	1914-04-13	PC	775	0	westlaw*,NW	147 N.W. 263,27 N.D. 457
147 N.W. 263	1188	Hoerr v. Lynn	1914-04-13	PC	772	0	westlaw*,NW	147 N.W. 263,27 N.D. 449

147 N.W. 264	1189	Bussey v. Boynton	1914-04-13	PC	1144	0	westlaw*,NW	147 N.W. 264,27 N.D. 458
147 N.W. 264	1190	Lynn v. Patterson Land Co.	1914-04-13	PC	1103	0	westlaw*,NW	147 N.W. 264,27 N.D. 456
147 N.W. 264	1191	Lynn v. Hoerr	1914-04-13	PC	1080	0	westlaw*,NW	147 N.W. 264,27 N.D. 455

16 N.D. 59	274	Kerr v. Sunstrum	1907-02-20	PC	523	0	westlaw*,NW	111 N.W. 614,16 N.D. 59
16 N.D. 59	276	Kerr v. Swanson	1907-02-20	PC	489	0	NW*	111 N.W. 615,16 N.D. 59
16 N.D. 59	278	Kerr v. Herred	1907-02-23	PC	483	3	NW*	111 N.W. 615,16 N.D. 59

162 N.W. 413	1732	Crane & Ordway Co. v. Sykeston School District No. 11	1917-03-29	Birdzell	12061	1	westlaw*,NW	162 N.W. 413,36 N.D. 254
162 N.W. 413	1733	Metzger v. McDonald	1917-04-21	Christianson	903	0	westlaw*,NW	162 N.W. 413,36 N.D. 330
162 N.W. 413	1734	Fitter v. McDonald	1917-04-20	Christianson	901	1	westlaw*,NW	162 N.W. 413,36 N.D. 329

173 N.W. 475	2169	Nelson v. Middlewest Grain Co.	1919-06-21	PC	841	0	westlaw*,NW	173 N.W. 475,44 N.D. 250
173 N.W. 475	2170	Crawson v. Middlewest Grain Co.	1919-06-21	PC	868	0	westlaw*,NW	173 N.W. 475,44 N.D. 248
