recommendation	cite	keep	drop	j	keep_name	drop_name	keep_author	drop_author	reasoning
REC_MERGE	231 N.W. 859	4032	4031	0.84	First State Bank v. Farmers Co-Op. Elevator Co.	First State Bank of New Salem v. Farmers Co-operative Elevator Co.	Nuessle	Nuessle	same parties; "of New Salem"/Co-Op vs Co-operative format variant; same author — true double-ingest
REC_MERGE	207 N.W. 551	3279	3278	0.80	Crandall v. North Dakota Workmen's Comp. Bureau	Crandall v. North Dakota Workmen's Compensation Bureau	Christianson	Christianson	Comp.=Compensation abbrev; same parties; same author — true double-ingest
REC_MERGE	208 N.W. 158	3295	3294	0.79	Vincent v. Reynolds Farmers Elev. Co.	Vincent v. Reynolds Farmers Elevator Co.	Johnson	Johnson	Elev.=Elevator abbrev; same parties; same author — true double-ingest
REC_MERGE	231 N.W. 892	4040	4039	0.79	Federal Land Bank v. Steele	Federal Land Bank of St. Paul v. Steele	Burke	Burke	"of St. Paul" qualifier; same parties; same author — true double-ingest
REC_MERGE	232 N.W. 10	4043	4042	0.84	Colwell v. Union Central L. Ins. Co.	Colwell v. Union Central Life Insurance	Christianson	Christianson	L. Ins.=Life Insurance abbrev; same parties; same author — true double-ingest
REC_MERGE	208 N.W. 949	3330	3329	0.83	Thompson Yards v. Kingsley	Thompson Yards, Inc. v. Kingsley	Birdzell	Birdzell	", Inc." only difference; same author — true double-ingest
REC_MERGE	226 N.W. 498	3869	3868	0.83	Pipan v. Aetna Ins. Co.	Pipan v. Aetna Insurance	Swenson	Swenson	Ins. Co.=Insurance abbrev; same author — true double-ingest
REC_MERGE	246 N.W. 279	4360	4359	0.83	Baird v. Kensal Light P. Co.	Baird v. Kensal Light & Power Co.	Burke	Burke	P.=& Power abbrev; same author — true double-ingest
REC_MERGE	204 N.W. 663	3155	3154	0.82	Wilson Co. v. Knowles	A. M. Wilson Co. v. Knowles	(blank)	Christianson	"A. M." initials dropped on one; keep author blank (compatible) — true double-ingest
REC_MERGE	229 N.W. 105	3971	3970	0.84	State Ex Rel. v. Davis	State ex rel. Kaufman v. Davis	Christianson	Christianson	relator "Kaufman" truncated on keep; same respondent + same author — name truncation, true double-ingest
KEEP_DISTINCT_SUPP	247 N.W. 607	4384	4383	0.85	Blackstead v. Kent	Blackstead v. Kent	Christianson	Birdzell	identical caption + same cite/date, DIFFERENT authors — lead vs opinion-on-rehearing/separate authored opinion; do NOT merge (supplemental-publication doctrine); confirm by text read
KEEP_DISTINCT_SUPP	249 N.W. 724	4430	4429	0.85	Derek v. Elder	Derek v. Elder	Christianson	Birdzell	identical caption, DIFFERENT authors — lead vs rehearing/separate opinion; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	277 N.W. 1	4800	4799	0.85	State v. Thompson	State v. Thompson	Morris	Burr	identical caption, DIFFERENT authors — lead vs rehearing/separate opinion; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	208 N.W. 82	3317	3316	0.83	Williston v. Ludowese	City of Williston v. Ludowese	Pugh	Birdzell	same parties but DIFFERENT authors — likely lead vs rehearing; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	284 N.W. 853	4900	4899	0.82	Magnuson v. Breher	Magnuson v. Breher	Nuessle	Burr	identical caption, DIFFERENT authors — lead vs rehearing/separate opinion; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	295 N.W. 84	5012	5011	0.82	First Nat. Bank v. Paulson	First National Bank v. Paulson	Christianson	Burke	Nat.=National variant BUT DIFFERENT authors — name match alone insufficient; lead vs rehearing; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	247 N.W. 558	4381	4380	0.80	Cretors v. Troyer	Cretors v. Troyer	Nuessle	Birdzell	identical caption, DIFFERENT authors — lead vs rehearing/separate opinion; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	281 N.W. 87	4865	4864	0.80	Funderburg v. Young	Funderburg v. Young	Morris	Burr	identical caption, DIFFERENT authors — lead vs rehearing/separate opinion; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	291 N.W. 693	4965	4964	0.79	McKee v. Buck	McKee v. Buck	Burr	Burke	identical caption, DIFFERENT authors — lead vs rehearing/separate opinion; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	247 N.W. 401	4376	4375	0.79	Re Salhus	In re Salhus	Burke	Birdzell	probate matter, DIFFERENT authors — likely original order + order-on-rehearing; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	208 N.W. 101	3286	3285	0.71	State v. Stoelting	State v. Stoelting	Jansonius	Birdzell	identical caption, DIFFERENT authors, j=0.71 — lead vs rehearing/separate opinion; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	268 N.W. 679	4707	4706	0.67	McGuigan v. Heuer	McGuigan v. Heuer	Burr	Burke	identical caption, DIFFERENT authors, j=0.67 — distinct authored opinions; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	257 N.W. 639	4577	4576	0.58	Huffman v. Brotherhood of R. Trainmen	Huffman v. Brotherhood of R. Trainmen	Moellring	Burke	identical caption, DIFFERENT authors, j=0.58 (low overlap) — strongly distinct authored opinions; do NOT merge
KEEP_DISTINCT_SUPP	250 N.W. 373	4458	4457	0.80	Kramer v. K.O. Lee Son Co.	Kramer v. K. O. Lee & Son Co.	Christianson	Birdzell	"& Son" format variant BUT DIFFERENT authors — name match insufficient; lead vs rehearing; do NOT merge; confirm by read
KEEP_DISTINCT_SUPP	250 N.W. 529	4460	4459	0.78	Equity Elevator T. Co. v. Farmers M. Bank	Equity Elevator & Trading Co. v. Farmers & Merchants Bank	Burr	Birdzell	same parties (T.=&Trading, M.=&Merchants) BUT DIFFERENT authors — lead vs rehearing; do NOT merge; confirm by read
REC_DISTINCT	44 N.D. 250	2169	2167	0.75	Nelson v. Middlewest Grain Co.	Olson v. Middlewest Grain Co.	(blank)	(blank)	DIFFERENT plaintiffs (Nelson vs Olson) v. same defendant on a shared reporter page — distinct opinions; never merge
REC_DISTINCT	173 N.W. 474	2168	2167	0.67	Livingston v. Middlewest Grain Co.	Olson v. Middlewest Grain Co.	Grace	(blank)	DIFFERENT plaintiffs (Livingston vs Olson) — Middlewest Grain shared-page family; distinct opinions; never merge
REC_DISTINCT	196 N.W. 553	2904	2903	0.73	Johnson v. National Union Fire Insurance	Colgrove v. National Union Fire Insurance	Nuessle	Nuessle	DIFFERENT plaintiffs (Johnson vs Colgrove) v. same insurer on a shared page; distinct opinions; never merge
