bucket	cite	keep	drop	j	nm	keep_name	drop_name	keep_author	drop_author	keep_cb	drop_cb
SAFE_TRUEDUP	226 N.W. 534	3881	3880	0.85	1.00	'State v. Fichtner'	'State v. Fichtner'	'Burke'	'Burke'	0	0
SAFE_TRUEDUP	58 N.D. 400	3881	3880	0.85	1.00	'State v. Fichtner'	'State v. Fichtner'	'Burke'	'Burke'	0	0
SAFE_TRUEDUP	231 N.W. 550	4021	4020	0.85	1.00	'Danielson v. Pritz'	'Danielson v. Pritz'	'Birdzell'	'Birdzell'	0	0
SAFE_TRUEDUP	59 N.D. 548	4021	4020	0.85	1.00	'Danielson v. Pritz'	'Danielson v. Pritz'	'Birdzell'	'Birdzell'	0	0
MID_NEEDS_READ	247 N.W. 607	4384	4383	0.85	1.00	'Blackstead v. Kent'	'Blackstead v. Kent'	'Christianson'	'Birdzell'	2	0
MID_NEEDS_READ	63 N.D. 246	4384	4383	0.85	1.00	'Blackstead v. Kent'	'Blackstead v. Kent'	'Christianson'	'Birdzell'	2	0
MID_NEEDS_READ	249 N.W. 724	4430	4429	0.85	1.00	'Derek v. Elder'	'Derek v. Elder'	'Christianson'	'Birdzell'	0	0
MID_NEEDS_READ	63 N.D. 635	4430	4429	0.85	1.00	'Derek v. Elder'	'Derek v. Elder'	'Christianson'	'Birdzell'	0	0
MID_NEEDS_READ	277 N.W. 1	4800	4799	0.85	1.00	'State v. Thompson'	'State v. Thompson'	'Morris'	'Burr'	6	0
MID_NEEDS_READ	68 N.D. 98	4800	4799	0.85	1.00	'State v. Thompson'	'State v. Thompson'	'Morris'	'Burr'	6	0
SAFE_TRUEDUP	226 N.W. 586	3886	3885	0.84	1.00	'State Ex Rel. Woods v. Hughes Oil Co.'	'State ex rel. Woods v. Hughes Oil Co.'	'Christianson'	'Christianson'	4	0
SAFE_TRUEDUP	58 N.D. 581	3886	3885	0.84	1.00	'State Ex Rel. Woods v. Hughes Oil Co.'	'State ex rel. Woods v. Hughes Oil Co.'	'Christianson'	'Christianson'	4	0
SAFE_TRUEDUP	229 N.W. 923	3989	3988	0.84	1.00	"Odland v. O'Keeffe Implement Co."	"Odland v. O'Keeffe Implement Co."	'Nuessle'	'Nuessle'	0	0
SAFE_TRUEDUP	59 N.D. 335	3989	3988	0.84	1.00	"Odland v. O'Keeffe Implement Co."	"Odland v. O'Keeffe Implement Co."	'Nuessle'	'Nuessle'	0	0
SAFE_TRUEDUP	206 N.W. 218	3228	3227	0.83	1.00	'Nelson v. Walrod'	'Nelson v. Walrod'	''	'Johnson'	2	0
SAFE_TRUEDUP	53 N.D. 409	3228	3227	0.83	1.00	'Nelson v. Walrod'	'Nelson v. Walrod'	''	'Johnson'	2	0
SAFE_TRUEDUP	212 N.W. 848	3473	3472	0.83	1.00	'State Bank v. Newell'	'State Bank v. Newell'	'Burke'	'Burke'	1	0
SAFE_TRUEDUP	55 N.D. 184	3473	3472	0.83	1.00	'State Bank v. Newell'	'State Bank v. Newell'	'Burke'	'Burke'	1	0
SAFE_TRUEDUP	220 N.W. 647	3725	3724	0.83	1.00	'Hazlett v. Mathieu'	'Hazlett v. Mathieu'	'Christianson'	'Christianson'	3	0
SAFE_TRUEDUP	57 N.D. 57	3725	3724	0.83	1.00	'Hazlett v. Mathieu'	'Hazlett v. Mathieu'	'Christianson'	'Christianson'	3	0
SAFE_TRUEDUP	228 N.W. 413	3948	3947	0.83	1.00	'State v. Shoars'	'State v. Shoars'	'Burke'	'Burke'	0	0
SAFE_TRUEDUP	59 N.D. 67	3948	3947	0.83	1.00	'State v. Shoars'	'State v. Shoars'	'Burke'	'Burke'	0	0
SAFE_TRUEDUP	230 N.W. 288	3998	3997	0.82	1.00	'Klinefelter v. Anderson'	'Klinefelter v. Anderson'	'Burr'	'Burr'	2	0
SAFE_TRUEDUP	59 N.D. 417	3998	3997	0.82	1.00	'Klinefelter v. Anderson'	'Klinefelter v. Anderson'	'Burr'	'Burr'	2	0
SAFE_TRUEDUP	237 N.W. 648	4173	4172	0.82	1.00	'First Security Bank v. Bagley Elevator Co.'	'First Security Bank v. Bagley Elevator Co.'	'Burr'	'Burr'	0	0
