kind	cite	keep	drop	names	keep_meta	drop_meta
NEEDS_DECISION	10 N.D. 400	5849	5834	Willard v. Monarch Elevator Co. | White v. Lauder	K[1901-10-25 auth=Morgan tl=17595 cb=1 src=NW*]	D[1901-10-25 auth=Morgan tl=887 cb=0 src=NW*]
NEEDS_DECISION	107 N.W. 365	200	201	Mathie v. Lemery | Connolly v. Luros	K[1906-01-23 auth=Engerud tl=12719 cb=0 src=westlaw*,NW]	D[1906-01-23 auth=Engerud tl=2151 cb=0 src=westlaw*,NW]
NEEDS_DECISION	107 N.W. 43	204	203	Olson v. County of Sargent | Edwards v. Eagles	K[1906-02-14 auth=Morgan tl=8179 cb=1 src=westlaw*,NW]	D[1906-02-14 auth=Morgan tl=2651 cb=0 src=westlaw*,NW]
NEEDS_DECISION	111 N.W. 614	275	274	Kerr v. Anderson | Kerr v. Sunstrum	K[1907-02-20 auth=Morgan tl=4380 cb=1 src=westlaw*,NW]	D[1907-02-20 auth=PC tl=523 cb=0 src=westlaw*,NW]
NEEDS_DECISION	116 N.W. 335	395	394	Bertelson v. Ehr | Buchanan v. Minneapolis Threshing Machine Co.	K[1908-04-22 auth=Fisk tl=3772 cb=2 src=westlaw*,NW]	D[1908-04-22 auth=Morgan tl=18923 cb=2 src=westlaw*,NW]
NEEDS_DECISION	117 N.W. 864	435	434	State ex rel. Cox v. Fabrick | State ex rel. Murphy v. Gottbreht	K[1908-10-13 auth=PC tl=617 cb=1 src=westlaw*,NW]	D[1908-10-13 auth=Morgan tl=7797 cb=1 src=westlaw*,NW]
NEEDS_DECISION	13 N.D. 387	45	6	Cairncross v. Omlie | Lough v. White	K[1904-10-10 auth=Young tl=4825 cb=2 src=NW*]	D[1904-10-10 auth=Young tl=929 cb=0 src=westlaw*,NW]
NEEDS_DECISION	14 N.D. 557	152	146	Murphy v. District Court of the Eighth Judicial District | State v. Poull	K[1905-11-20 auth=? tl=777 cb=0 src=westlaw*,NW]	D[1905-11-20 auth=Morgan tl=8091 cb=0 src=westlaw*,NW]
NEEDS_DECISION	152 N.W. 660	1359	1358	Marquart v. Schaffner | Holobuck v. Schaffner	K[1915-04-24 auth=PC tl=798 cb=2 src=westlaw*,NW]	D[1915-04-24 auth=Burke tl=3696 cb=2 src=westlaw*,NW]
NEEDS_DECISION	159 N.W. 74	1641	1640	Mercer County State Bank v. Hayes | Tallmadge v. Weber	K[1916-08-08 auth=Bruce tl=15324 cb=0 src=NW*]	D[1916-08-08 auth=Bruce tl=1000 cb=0 src=westlaw*,NW]
NEEDS_DECISION	163 N.W. 268	1762	1761	Kline v. Harris | Hendricks v. Hughes	K[1917-06-02 auth=Robinson tl=3584 cb=0 src=westlaw*,NW]	D[1917-06-02 auth=Robinson tl=3479 cb=0 src=westlaw*,NW]
NEEDS_DECISION	17 N.D. 266	383	382	Skeffington v. Prante | Ross v. Prante	K[1908-03-20 auth=PC tl=749 cb=0 src=westlaw*,NW]	D[1908-03-20 auth=Spalding tl=10269 cb=0 src=westlaw*,NW]
NEEDS_DECISION	172 N.W. 62	2122	2121	Scandia State Bank v. Dinnie | Pollock v. Johnson	K[1919-03-31 auth=Birdzell tl=8147 cb=3 src=westlaw*,NW]	D[1919-03-31 auth=Robinson tl=2566 cb=2 src=westlaw*,NW]
