verdict	source_citation	keyword	raw_number	normalized	note	context
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 20-03-01-02	section	20-02-01-05.1	20-2-1-5.1	chapter 20-2-1 present	permit in accordance with subsection 1 of section 20-02-01-05.1, monitor a patient who has been induced to a leve
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33-11-02-02	section	33-11-02-06	33-11-2-6	chapter 33-11-2 present	life support interventions as defined in section 33-11-02-06, an advanced life support ambulance, or air ambul
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33-36-03-02	section	33-36-04-02.1	33-36-4-2.1	chapter 33-36-4 present	rgency medical technician's as defined in section 33-36-04-02.1. The advanced first-aid ambulance attendant's sco
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33.1-23-02-29	section	33.1-23-02-40	33.1-23-2-40	chapter 33.1-23-2 present	same time the notification is sent under section 33.1-23-02-40. 2. The laboratory shall notify clients immediate
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33.1-24-05-234	sections	33.1-24-06-235	33.1-24-6-235	chapter 33.1-24-6 present	le subsection 2 of section provisions of sections 33.1-24-06-235. 33.1-24-05-250 through 33.1-24-05-299. (5) Will
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33.1-24-05-235	sections	33.1-24-06-235	33.1-24-6-235	chapter 33.1-24-6 present	le subsection 2 of section provisions of sections 33.1-24-06-235. 33.1-24-05-250 through 33.1-24-05-299. (5) Will
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33.1-24-05-290	section	33.1-24-04-272	33.1-24-4-272	chapter 33.1-24-4 present	the applicable prohibitions specified in section 33.1-24-04-272 or Resource Conservation and Recovery Act section
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33.1-24-05-400	sections	33.1-24-04-419	33.1-24-4-419	chapter 33.1-24-4 present	e requirements of sections 33.1-24-05-400 through 33.1-24-04-419 do not apply to the process vents at a facility w
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33.1-24-05-427	section	33.1-24-04-434	33.1-24-4-434	chapter 33.1-24-4 present	ribed in subdivision a of subsection 8 of section 33.1-24-04-434 as an unsafe-to-monitor valve is exempt from the
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33.1-24-05-713	section	33.1-24-06-110	33.1-24-6-110	chapter 33.1-24-6 present	gh 33.1-24-05-117, except subsection 3 of section 33.1-24-06-110 and sections 33.1-24-05-113 and 33.1-24-05-114; o
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 33.1-24-05-733	section	33.1-24-06-110	33.1-24-6-110	chapter 33.1-24-6 present	gh 33.1-24-05-117, except subsection 3 of section 33.1-24-06-110 and sections 33.1-24-05-113 and 33.1-24-05-114; o
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 74-04-01-07	section	74-04-01-07.8	74-4-1-7.8	chapter 74-4-1 present	ield year under the criteria set forth in section 74-04-01-07.8. 7. Field year designations increase with years o
UNRESOLVED_CHAPTER_EXISTS	N.D.A.C. § 75-03-20-08	section	75-03-20-16.1	75-3-20-16.1	chapter 75-3-20 present	and nonclients offset in accordance with section 75-03-20-16.1, consumed by persons other than clients or mainte
UNRESOLVED_CONTAINER	N.D.A.C. § 10-08-01-01	chapters	12.1-31.1	12.1-31.1	2-segment container absent	3, 12.1-24, 12.1-27.1, 12.1-28, 12.1-29, 12.1-31, 12.1-31.1, 19-03.1, 53-04, 53-06.1, 53-06.2, or have commit
UNRESOLVED_CONTAINER	N.D.A.C. § 10-12-01-01	chapter	12.1-27	12.1-27	2-segment container absent	n of North Dakota Century Code chapter 12.1-20 or 12.1-27 or equivalent laws of another state or the federa
UNRESOLVED_CONTAINER	N.D.A.C. § 104-02-01-01	section	44-33-12	44-33-12	3-segment container absent	ing" as used in North Dakota Century Code section 44-33-12 includes, except as provided in this subsection,
UNRESOLVED_CONTAINER	N.D.A.C. § 107-01-01-01	section	4-35-30	4-35-30	3-segment container absent	ities listed in North Dakota Century Code section 4-35-30; g. Request the agriculture commissioner to pursu
UNRESOLVED_CONTAINER	N.D.A.C. § 107-01-01-01	section	4-35-30	4-35-30	3-segment container absent	s designated in North Dakota Century Code section 4-35-30. 4. Inquiries. General inquiries or grant applica
UNRESOLVED_CONTAINER	N.D.A.C. § 107-02-01-01	section	4-35-06.2	4-35-6.2	3-segment container absent	North Dakota Century Code section 4-35-06.2 authorizes the board to accept funds received fro
UNRESOLVED_CONTAINER	N.D.A.C. § 107-02-01-02	section	4-35-06.2	4-35-6.2	3-segment container absent	North Dakota Century Code section 4-35-06.2 authorizes the board to accept donations offered
UNRESOLVED_CONTAINER	N.D.A.C. § 107-02-02-01	section	4-35-06.3	4-35-6.3	3-segment container absent	y created under North Dakota Century Code section 4-35-06.3. 10. "Other uses" means registration, reregistrat
UNRESOLVED_CONTAINER	N.D.A.C. § 108-01-01-01	article	4-08	4-8	2-segment container absent	ode became effective in December 1994, as article 4-08, chapter 4-08-01. Those rules were developed by t
UNRESOLVED_CONTAINER	N.D.A.C. § 108-01-01-01	chapter	4-08-01	4-8-1	3-segment container absent	ective in December 1994, as article 4-08, chapter 4-08-01. Those rules were developed by the office of inte
UNRESOLVED_CONTAINER	N.D.A.C. § 108-01-01-01	article	4-08	4-8	2-segment container absent	e that became effective in December 1994, article 4-08, chapter 4-08-01. History: Effective September 1,
UNRESOLVED_CONTAINER	N.D.A.C. § 108-01-01-01	chapter	4-08-01	4-8-1	3-segment container absent	effective in December 1994, article 4-08, chapter 4-08-01. History: Effective September 1, 2002. General Au
UNRESOLVED_CONTAINER	N.D.A.C. § 111-02-01-05	chapter	50-25	50-25	2-segment container absent	children under North Dakota Century Code chapter 50-25 and vulnerable adults under North Dakota Century
UNRESOLVED_CONTAINER	N.D.A.C. § 114-02-01-01	chapter	22.1-03	22.1-3	2-segment container absent	requirements in North Dakota Century Code chapter 22.1-03; and (2) Using sealed radioactive sources only wh
UNRESOLVED_CONTAINER	N.D.A.C. § 13-02-12-02	chapter	10-06	10-6	2-segment container absent	ranching under North Dakota Century Code chapter 10-06, where the majority of the labor necessary to ope
UNRESOLVED_CONTAINER	N.D.A.C. § 15-01-01-01	chapter	4-34	4-34	2-segment container absent	ct, codified as North Dakota Century Code chapter 4-34. This chapter requires the governor to appoint th
UNRESOLVED_CONTAINER	N.D.A.C. § 19-01-01-01	chapter	4-27	4-27	2-segment container absent	is codified as North Dakota Century Code chapter 4-27. The chapter establishes a dairy promotion commis
UNRESOLVED_CONTAINER	N.D.A.C. § 21-01-01-01	chapter	4-10.3	4-10.3	2-segment container absent	t", codified as North Dakota Century Code chapter 4-10.3, and created the edible bean council. 2. Council
UNRESOLVED_CONTAINER	N.D.A.C. § 21-02-01-01	chapter	4-10.3	4-10.3	2-segment container absent	ted pursuant to North Dakota Century Code chapter 4-10.3 and section 28-32-02. This article applies to all
UNRESOLVED_CONTAINER	N.D.A.C. § 21-02-01-01	chapter	4-10.3	4-10.3	2-segment container absent	onjunction with North Dakota Century Code chapter 4-10.3. General Authority: NDCC 28-32-02 Law Implemented
UNRESOLVED_CONTAINER	N.D.A.C. § 21-02-02-01	chapter	4-10.3	4-10.3	2-segment container absent	n to them under North Dakota Century Code chapter 4-10.3. General Authority: NDCC 4-10.3-08 Law Implemente
UNRESOLVED_CONTAINER	N.D.A.C. § 21-02-02-02	chapter	4-10.3	4-10.3	2-segment container absent	required by the North Dakota Century Code chapter 4-10.3, include a grower selling the grower's unharveste
UNRESOLVED_CONTAINER	N.D.A.C. § 24.1-06-05-01	articles	500-516	500-516	2-segment container absent	ms shall be installed in accordance with articles 500-516, 2023 edition, National Electrical Code (1st vers
UNRESOLVED_CONTAINER	N.D.A.C. § 27-02-14-01	Section	28-32-03.3	28-32-3.3	3-segment container absent	to the effective date of the legislation. Section 28-32-03.3 provides that after the filing of a committee obj
UNRESOLVED_CONTAINER	N.D.A.C. § 28-01-01-01	chapter	43-19	43-19	2-segment container absent	law codified as North Dakota Century Code chapter 43-19. The 1957 legislative assembly first provided for
UNRESOLVED_CONTAINER	N.D.A.C. § 28-01-01-01	chapter	43-24	43-24	2-segment container absent	law codified as North Dakota Century Code chapter 43-24. In 1967 the legislative assembly repealed both o
UNRESOLVED_CONTAINER	N.D.A.C. § 3-01-01-01	chapter	43-02.1	43-2.1	2-segment container absent	ct, codified as North Dakota Century Code chapter 43-02.1, completely revamped the accountancy laws and add
UNRESOLVED_CONTAINER	N.D.A.C. § 3-01-01-01	chapter	43-02.1	43-2.1	2-segment container absent	f 1993 replaced North Dakota Century Code chapter 43-02.1 with chapter 43-02.2. 2. Legislative intent. It i
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-02-05	chapter	33-15-14	33-15-14	3-segment container absent	able fetuses must meet the requirement of chapter 33-15-14. History: Effective March 1, 1988. General Author
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-13-05	section	48-02-19	48-2-19	3-segment container absent	1. Comply with North Dakota Century Code section 48-02-19. 2. Be constructed to accommodate no more than fi
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-14-06	section	48-02-19	48-2-19	3-segment container absent	led comply with North Dakota Century Code section 48-02-19. 2. Be constructed to accommodate no more than fi
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-15-01	chapter	23-17.2	23-17.2	2-segment container absent	iew pursuant to North Dakota Century Code chapter 23-17.2. 2. The department must be notified in writing wh
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-24.2-07	article	33-15	33-15	2-segment container absent	ions; i. North Dakota Administrative Code article 33-15 governing air pollution control, relating to inci
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-24.2-07	article	33-10	33-10	2-segment container absent	; and j. North Dakota Administrative Code article 33-10 relating to radiological health. 2. A basic care
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-28-01	chapter	23-14	23-14	2-segment container absent	lan pursuant to North Dakota Century Code chapter 23-14. It includes all cities within the counties excep
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-28-03	sections	23-14-01.1	23-14-1.1	3-segment container absent	rs pursuant to North Dakota Century Code sections 23-14-01.1 and 54-40-08 must specify the public health servi
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-29-10	chapters	15-47	15-47	2-segment container absent	ccordance with North Dakota Century Code chapters 15-47 and 15-59. 3. As a result of interdisciplinary as
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-29-10	chapters	15-59	15-59	2-segment container absent	with North Dakota Century Code chapters 15-47 and 15-59. 3. As a result of interdisciplinary assessments,
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-30-06	section	48-02-19	48-2-19	3-segment container absent	ed standards in North Dakota Century Code section 48-02-19. The waiver may be granted when only ambulatory d
UNRESOLVED_CONTAINER	N.D.A.C. § 33-03-30-06	section	48-02-19	48-2-19	3-segment container absent	led comply with North Dakota Century Code section 48-02-19. 2. Be constructed to accommodate no more than fi
UNRESOLVED_CONTAINER	N.D.A.C. § 33-06-05.1-02	chapter	15-59	15-59	2-segment container absent	. 1401(a)(1) or North Dakota Century Code chapter 15-59, the decisionmaker is the multidisciplinary team
UNRESOLVED_CONTAINER	N.D.A.C. § 33-06-05.1-02	section	15-34.1-03	15-34.1-3	3-segment container absent	subsection 4 of North Dakota Century Code section 15-34.1-03. 3. "Employee" means all persons employed by the
UNRESOLVED_CONTAINER	N.D.A.C. § 33-07-01.1-01	chapter	33-03-24	33-3-24	3-segment container absent	09.3 and North Dakota Administrative Code chapter 33-03-24. (2) "Nursing facility" means a facility consiste
UNRESOLVED_CONTAINER	N.D.A.C. § 33-07-01.1-01	chapters	33-07-03.1	33-7-3.1	3-segment container absent	-16 and North Dakota Administrative Code chapters 33-07-03.1 and 33-07-04.1. q. "Outpatient facility" (includi
UNRESOLVED_CONTAINER	N.D.A.C. § 33-07-01.1-01	chapters	33-07-04.1	33-7-4.1	3-segment container absent	akota Administrative Code chapters 33-07-03.1 and 33-07-04.1. q. "Outpatient facility" (including ambulatory s
UNRESOLVED_CONTAINER	N.D.A.C. § 33-07-01.1-24	article	33-10	33-10	2-segment container absent	e written verification of compliance with article 33-10. b. The hospital shall have evidence of licensure
UNRESOLVED_CONTAINER	N.D.A.C. § 33-07-02.1-03	Article	33-15	33-15	2-segment container absent	ating to boiler rules and regulations. i. Article 33-15 governing air pollution control, relating to inci
UNRESOLVED_CONTAINER	N.D.A.C. § 33-07-02.1-03	Article	33-10	33-10	2-segment container absent	ion control, relating to incinerators. j. Article 33-10 relating to radiological health. 2. Hospitals sha
UNRESOLVED_CONTAINER	N.D.A.C. § 33-07-04.2-09	article	33-15	33-15	2-segment container absent	ions; i. North Dakota Administrative Code article 33-15 governing air pollution control, relating to inci
UNRESOLVED_CONTAINER	N.D.A.C. § 33-07-04.2-09	article	33-10	33-10	2-segment container absent	; and j. North Dakota Administrative Code article 33-10 relating to radiological health. 2. A nursing fac
UNRESOLVED_CONTAINER	N.D.A.C. § 33-09-03-03	section	23-17.2-03	23-17.2-3	3-segment container absent	d subject under North Dakota Century Code section 23-17.2-03, unless the proposal is found eligible for a spec
UNRESOLVED_CONTAINER	N.D.A.C. § 33-09-03-03	section	23-17.2-09	23-17.2-9	3-segment container absent	s prescribed by North Dakota Century Code section 23-17.2-09. b. Applications received with appropriate fee w
UNRESOLVED_CONTAINER	N.D.A.C. § 33-09-03-03	chapters	23-17.2	23-17.2	2-segment container absent	nder North Dakota Century Code chapters 28-32 and 23-17.2 for reconsideration of the health council's deter
