verdict	source_citation	keyword	raw_number	normalized	note	context
UNRESOLVED_CHAPTER_EXISTS	N.D.C.C. § 23.1-06-07	section	23.1-01-04.1	23.1-1-4.1	chapter 23.1-1 present	quirements of this section. To the extent section 23.1-01-04.1 conflicts with this section, the provisions of th
UNRESOLVED_CHAPTER_EXISTS	N.D.C.C. § 28-22-03.1	sections	39-03-14.2	39-3-14.2	chapter 39-3 present	ified domestic order under sections 15-39.1-12.2, 39-03-14.2, and 54-52-17.6. 6. Professionally prescribed hea
UNRESOLVED_CHAPTER_EXISTS	N.D.C.C. § 32-29.3-04	section	32-29.3-30	32-29.3-30	chapter 32-29.3 present	2 of section 32-29.3-25, or section 32-29.3-29 or 32-29.3-30.
UNRESOLVED_CHAPTER_EXISTS	N.D.C.C. § 41-09-73	section	11-18-23.2	11-18-23.2	chapter 11-18 present	al property records as provided for under section 11-18-23.2.
UNRESOLVED_CHAPTER_EXISTS	N.D.C.C. § 45-22-23	section	45-22-22.1	45-22-22.1	chapter 45-22 present	en revoked as provided in subsection 5 of section 45-22-22.1, or for reinstatement of the registration of a fo
UNRESOLVED_CHAPTER_EXISTS	N.D.C.C. § 54-44.8-04	section	54-44.8-10	54-44.8-10	chapter 54-44.8 present	s generated by the surcharge described in section 54-44.8-10 are available. 3. Perform any other duties necess
UNRESOLVED_CONTAINER	N.D.C.C. § 10-19.1-02	chapters	26-08	26-8	2-segment container absent	rated under chapters 6-05, 10-06.1, 10-30, 10-31, 26-08, or any other chapter which provides that such co
UNRESOLVED_CONTAINER	N.D.C.C. § 10-32.1-05	chapter	10-32	10-32	2-segment container absent	liability company may not be formed under chapter 10-32. 2. Before January 1, 2016, this chapter governs
UNRESOLVED_CONTAINER	N.D.C.C. § 10-32.1-05	chapter	10-32	10-32	2-segment container absent	on of the limited liability company under chapter 10-32 at the time the limited liability company becomes
UNRESOLVED_CONTAINER	N.D.C.C. § 10-33-02	chapters	10-24	10-24	2-segment container absent	st 1, 1997, which has incorporated under chapters 10-24, 10-25, 10-26, 10-27, and 10-28 as they existed o
UNRESOLVED_CONTAINER	N.D.C.C. § 10-33-02	chapters	10-25	10-25	2-segment container absent	997, which has incorporated under chapters 10-24, 10-25, 10-26, 10-27, and 10-28 as they existed on July
UNRESOLVED_CONTAINER	N.D.C.C. § 10-33-02	chapters	10-26	10-26	2-segment container absent	ich has incorporated under chapters 10-24, 10-25, 10-26, 10-27, and 10-28 as they existed on July 31, 199
UNRESOLVED_CONTAINER	N.D.C.C. § 10-33-02	chapters	10-27	10-27	2-segment container absent	incorporated under chapters 10-24, 10-25, 10-26, 10-27, and 10-28 as they existed on July 31, 1997, or a
UNRESOLVED_CONTAINER	N.D.C.C. § 10-33-02	chapters	10-28	10-28	2-segment container absent	ed under chapters 10-24, 10-25, 10-26, 10-27, and 10-28 as they existed on July 31, 1997, or any other ch
UNRESOLVED_CONTAINER	N.D.C.C. § 15-10-17	chapters	15-39	15-39	2-segment container absent	ficiary may have to benefits provided in chapters 15-39 and 15-39.2; and (4) Employees of the university
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-01	chapter	15-39	15-39	2-segment container absent	d retirement fund accumulated pursuant to chapter 15-39; and 2. All moneys thereafter received by the sta
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-04	chapter	15-39	15-39	2-segment container absent	and acceptance of a benefit under former chapter 15-39, or chapter 15-39.1 or 15-39.2. 9. "Retirement an
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10	chapter	15-39	15-39	2-segment container absent	eligible to receive benefits under former chapter 15-39, chapter 15-39.1, or section 15-39.2-02, may rece
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.10	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 is entitled to receive a monthly increase equal t
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.11	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 is entitled to receive a monthly increase equal t
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.11	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 is entitled to receive a seventy-five hundredths
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.11	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 is entitled to receive a seventy-five hundredths
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.12	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 on December 1, 2009, is entitled to receive a sup
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.4	chapter	15-39	15-39	2-segment container absent	the fund on an account paid under former chapter 15-39 is entitled to a monthly increase in that individ
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.5	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 is entitled to receive an increase in benefits eq
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.6	chapter	15-39	15-39	2-segment container absent	ct to a member participating under former chapter 15-39 or chapter 15-39.1 or 15-39.2 may not exceed the
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.7	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 is entitled to receive three dollars per month mu
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.8	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 is entitled to receive three dollars per month mu
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-10.9	chapter	15-39	15-39	2-segment container absent	t paid under this chapter or under former chapter 15-39 is entitled to receive an increase of thirty doll
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-19.1	chapter	15-39	15-39	2-segment container absent	o is receiving a retirement annuity under chapter 15-39, 15-39.1, or 15-39.2 may not return to covered em
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-19.2	chapter	15-39	15-39	2-segment container absent	o is receiving a retirement annuity under chapter 15-39, 15-39.1, or 15-39.2 may elect to return to teach
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-25	chapter	15-39	15-39	2-segment container absent	cation, only in the form and substance as chapter 15-39 existed as of July 1, 1967, and all such persons
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-25	chapter	15-39	15-39	2-segment container absent	, benefits, and privileges as provided in chapter 15-39 as it existed on July 1, 1967. Such persons are r
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-25	chapter	15-39	15-39	2-segment container absent	hose costs or assessments provided for in chapter 15-39 as such laws and chapter existed on July 1, 1967.
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-25	chapter	15-39	15-39	2-segment container absent	ents, or payments under the provisions of chapter 15-39 in excess of that provided or required under the
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-25	chapter	15-39	15-39	2-segment container absent	vided or required under the provisions of chapter 15-39 as such laws and chapter existed on July 1, 1967.
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.1-25	chapter	15-39	15-39	2-segment container absent	s as they existed under the provisions of chapter 15-39 as such laws and chapter existed in form and subs
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.2-01.1	chapter	15-39	15-39	2-segment container absent	or who is receiving benefits under former chapter 15-39 may receive benefits which are not less than: 1.
UNRESOLVED_CONTAINER	N.D.C.C. § 15-39.2-01.2	chapter	15-39	15-39	2-segment container absent	elected to remain under the provisions of chapter 15-39 may purchase military service as credit in the fu
UNRESOLVED_CONTAINER	N.D.C.C. § 23-01.3-04	chapter	23-07.3	23-7.3	2-segment container absent	t information required by chapter 23-07, 23-07.1, 23-07.3, or 23-07.4, or any other law requiring disclosur
UNRESOLVED_CONTAINER	N.D.C.C. § 23-06.5-15	chapter	23-06.4	23-6.4	2-segment container absent	he time it was executed, including former chapter 23-06.4, must be given effect pursuant to this chapter. T
UNRESOLVED_CONTAINER	N.D.C.C. § 24-02-26	chapter	32-29.2	32-29.2	2-segment container absent	ted to arbitration under this chapter and chapter 32-29.2. A person that voluntarily enters a contract for
UNRESOLVED_CONTAINER	N.D.C.C. § 24-07-03	chapter	40-50	40-50	2-segment container absent	orded prior to July 1, 1987, under former chapter 40-50, the congressional section lines are considered p
UNRESOLVED_CONTAINER	N.D.C.C. § 25-01-01	chapter	43-12	43-12	2-segment container absent	practice registered nurse licensed under chapter 43-12. 9. "Tier 2 mental health professional" means a t
UNRESOLVED_CONTAINER	N.D.C.C. § 25-01-01	chapter	43-12	43-12	2-segment container absent	3-45 or a registered nurse licensed under chapter 43-12. 10. "Tier 3 mental health professional" means a
UNRESOLVED_CONTAINER	N.D.C.C. § 25-01-01	chapter	43-12	43-12	2-segment container absent	a licensed practical nurse licensed under chapter 43-12, a behavior analyst licensed or registered under
