oid,matched_via,report_title,db_author,report_author
6829,174 N.W.2d 717,State v. Hapip,Erickstad,"Paulson, Wm."
7072,198 N.W.2d 218,State v. Champagne,Teigen,"Erickstad, Ralph"
8005,278 N.W.2d 358,State v. Gustafson,Pederson,"VandeWalle, Gerald"
8486,310 N.W.2d 709,State v. Kaufman,Erickstad,"Paulson, Wm."
6535,143 N.W.2d 718,Thomas v. City of Devils Lake,Teigen,"Giese, Emil"
6780,167 N.W.2d 754,"Tri-State Insurance Company v. Lubbock Machine & Supply Co., et al.",Erickstad,"Strutz, Alvin"
6806,171 N.W.2d 133,Odegaard v. Craig,Teigen,"Coyne, Eugene"
6838,175 N.W.2d 658,Tri-State Ins. Co. v. Lubbock Machine & Supply Co.,Erickstad,"Strutz, Alvin"
6902,181 N.W.2d 730,"Berg, et al. v. Kremers",Teigen,"Englert, Hamilton"
6869,179 N.W.2d 335,"O'Brien, et al. v. Farmers Union Oil Company of Rolla",Erickstad,"Strutz, Alvin"
7072,198 N.W.2d 218,"Municipal Airport Authority of the City of Fargo v. Halland, et al.",Teigen,"Knudson, Harvey"
7064,198 N.W.2d 107,First American Bank and Trust Co. v. Ellwein,Knudson,"Teigen, Obert"
7137,202 N.W.2d 844,"Abbey v. State, et al.",Erickstad,"Paulson, Wm."
7235,214 N.W.2d 109,Estate of Johnson,Beede,"Vogel, Robert"
7172,209 N.W.2d 758,Brink v. Curless,Teigen,"Kelsch, Clemens"
7818,263 N.W.2d 114,Interest of D.S.,Erickstad,"Paulson, Wm."
8511,311 N.W.2d 191,"Eagan v. D.M.G., et al.",VandeWalle,"Erickstad, Ralph"
9039,342 N.W.2d 393,Admission to the Bar of Thompson,Pederson,"Erickstad, Ralph"
9169,352 N.W.2d 628,Eisenzimmer v. City of Balfour,Erickstad,"VandeWalle, Gerald"
9208,355 N.W.2d 798,"Allegree, et al. v. Jankowski, et al.",Gierke,"Erickstad, Ralph"
9350,365 N.W.2d 847,Matter of Bo,Gierke,"Meschke, Herbert"
9351,366 N.W.2d 444,"Federal Land Bank of Saint Paul v. Wallace, et al.",Erickstad,"VandeWalle, Gerald"
9370,367 N.W.2d 148,First National Bank of Belfield v. Burich,Erickstad,"Levine, Beryl"
9452,373 N.W.2d 392,"Meyer v. Hansen, et al.",Erickstad,"Levine, Beryl"
9409,370 N.W.2d 513,"Benefiet v. Hoiby, et al.",Erickstad,"VandeWalle, Gerald"
9753,395 N.W.2d 148,Gillan v. Saffell,VandeWalle,"Levine, Beryl"
9910,408 N.W.2d 737,Powell v. Hjelle,Erickstad,"Levine, Beryl"
10097,421 N.W.2d 466,City of Bismarck v. Hoopman,Levine,"Erickstad, Ralph"
10539,450 N.W.2d 710,State v. Wahl,Erickstad,"VandeWalle, Gerald"
10799,466 N.W.2d 101,State v. Wilson,Erickstad,"Meschke, Herbert"
11165,487 N.W.2d 599,Disciplinary Board v. Jones,Erickstad,"Johnson, J."
10873,469 N.W.2d 801,Ebach v. Ralston et al,Gierke,"Levine, Beryl"
11098,482 N.W.2d 842,Green v. Gustafson,Erickstad,"Levine, Beryl"
11204,489 N.W.2d 886,Putney v. Backes,VandeWalle,"Meschke, Herbert"
11604,512 N.W.2d 723,Weber v. Weber,Levine,"Neumann, William"
11504,507 N.W.2d 541,Fode v. Director of the Department of Transportation,Meschke,"VandeWalle, Gerald"
14080,2004 ND 155,"Miller v. Workforce Safety and Insurance, et al.",VandeWalle,"Maring, Mary"
20056,2024 ND 81,"Morales v. Weatherford U.S., et al.",Bahr,"Crothers, Daniel John"
